time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
973399534500,-6.076,102.68,33.0,5.2,5.6,,1.0,70,62,"SOUTHWEST OF SUMATERA, INDONESIA. Mw 5.8 (HRV). Felt (II) at Bengkulu. Centroid, Moment Tensor (HRV): Centroid origin time 04:45:35.6; Lat 6.17 S; Lon 102.65 E; Dep 15.0 Fix; Half-duration 2.0 sec; Principal axes (scale 10**17 Nm): (T) Val=4.65, Plg=7, Azm=295; (N) Val=0.55, Plg=60, Azm=37; (P) Val=-5.20, Plg=29, Azm=201; Best double couple: Mo=4.9*10**17 Nm; NP1: Strike=342, Dip=65, Slip=-164; NP2: Strike=245, Dip=75, Slip=-26."
881378400900,54.014,161.727,33.0,4.0,,,0.8,,12,NEAR EAST COAST OF KAMCHATKA
957615421600,-22.512,-67.622,164.0,3.9,,,1.2,,14,CHILE-BOLIVIA BORDER REGION
774066956000,-16.62,167.518,33.0,6.4,7.3,,1.3,,390,"VANUATU ISLANDS. Mw 7.1 (GS), 7.2 (HRV). Ms 7.3 (BRK). Mo=1.0*10**20 Nm (PPT). Felt (VI) at Port-Vila and (V) on Malakula. Also felt on Ambrym, Aoba, Efate, Epi, Erromango, Espiritu Santo, Maewo and Pentecost. Complex event observed on broadband displacement seismograms."
1294446267699,30.18,51.706,39.0,5.0,,,,,195,"SOUTHERN IRAN. <THR>. MW 5.1 (GCMT). Felt (III) at Shiraz. Also felt at Bandar Bushehr. Centroid, Moment Tensor (GCMT): Centroid origin time 00:24:26.4; Lat 30.10 N; Lon 51.62 E; Dep 20.5 km; Half-duration 0.9 sec; Principal axes (scale 10**16 Nm): (T) Val=6.14, Plg=1, Azm=141; (N) Val=0.27, Plg=74, Azm=48; (P) Val=-6.41, Plg=16, Azm=231; Best double couple: Mo=6.3*10**16 Nm; NP1: Strike=275, Dip=78, Slip=-11; NP2: Strike=7, Dip=80, Slip=-168."
1056189571300,-24.645,-179.945,470.0,4.3,,,0.9,185,22,SOUTH OF THE FIJI ISLANDS
962083585000,0.418,128.384,33.0,5.0,,,1.1,85,52,"HALMAHERA, INDONESIA"
1272105454200,27.226,140.039,444.0,4.5,,A,0.8,40,197,"BONIN ISLANDS, JAPAN REGION"
1221189634500,-31.28,-69.03,107.0,4.1,,A,0.7,50,25,"SAN JUAN, ARGENTINA. MD 4.1 (GUC), 3.9 (SJA). Felt (III) at San Juan."
1337864112400,-3.45,145.95,35.0,4.6,,A,1.0,140,52,"NEAR NORTH COAST OF NEW GUINEA, P.N.G."
1201071226799,48.599,154.685,56.0,4.3,,A,0.7,135,26,KURIL ISLANDS
1215524380100,-18.828,-174.936,228.0,4.0,,B,0.6,165,7,TONGA
1089065710599,0.972,98.163,45.0,4.4,,B,0.9,154,7,"NIAS REGION, INDONESIA"
915913956299,34.042,25.667,33.0,4.0,,,1.0,,32,CRETE. ML 4.2 (ATH).
936285696399,-30.688,-71.389,66.0,4.5,,,1.0,,34,"NEAR COAST OF CENTRAL CHILE. MD 4.7 (GUC). Felt (V) at Combarbala, Ovalle and Punitaqui; (IV) at Andacollo, Hurtado and Monte Patria; (III) at Illapel and Paihuano; (II) at La Serena."
1254957808399,-12.564,165.957,36.0,5.5,,A,1.0,59,55,SANTA CRUZ ISLANDS
1173063407000,21.757,123.282,10.0,4.0,,B,1.3,150,7,SOUTHEAST OF TAIWAN
1207897696899,-25.88,-177.466,162.0,4.3,,B,1.3,76,19,SOUTH OF THE FIJI ISLANDS
925630650100,-8.88,119.563,152.0,3.8,,,0.7,,11,"FLORES REGION, INDONESIA"
1046789158799,52.348,159.376,73.0,3.7,,,0.9,171,10,"OFF THE EAST COAST OF KAMCHATKA, RUSSIA"
1297593306700,-36.649,-73.176,17.0,5.6,5.8,A,1.0,50,308,"OFFSHORE BIO-BIO, CHILE. MW 6.0 (UCMT), 5.9 (GS), 5.9 (GCMT). ME 5.8 (GS). ML 5.6 (GUC). Felt (VI) at Chiguayante, Concepcion, Coronel, Penco and Talcahuano; (V) at Cauquenes, Chillan, Contulmo, Hualpencillo, Lebu, San Pedro and Tome; (II) as far as Curico and Valdivia. Also felt at Neuquen, Argentina. Broadband Source Parameters (GS): Dep 17 km; Rupture duration 4.0 sec; Radiated energy 1.2*10**13 Nm. Centroid, Moment Tensor (UCMT): Centroid origin time 10:35:24.0; Lat 36.42 S; Lon 73.13 W; Dep 10.0 km; Principal axes (scale 10**18 Nm): (T) Val=1.33, Plg=55, Azm=132; (N) Val=0.00, Plg=12, Azm=25; (P) Val=-1.33, Plg=32, Azm=288; Best double couple: Mo=1.3*10**18 Nm; NP1: Strike=342, Dip=17, Slip=46; NP2: Strike=207, Dip=78, Slip=102. Moment Tensor (GS): Dep 15 km; Principal axes (scale 10**18 Nm): (T) Val=0.97, Plg=64, Azm=121; (N) Val=0.11, Plg=10, Azm=9; (P) Val=-1.08, Plg=23, Azm=275; Best double couple: Mo=1.0*10**18 Nm; NP1: Strike=344, Dip=23, Slip=63; NP2: Strike=193, Dip=69, Slip=101. Centroid, Moment Tensor (GCMT): Centroid origin time 10:35:10.4; Lat 36.83 S; Lon 73.74 W; Dep 14.1 km; Half-duration 2.3 sec; Principal axes (scale 10**18 Nm): (T) Val=0.99, Plg=63, Azm=91; (N) Val=0.01, Plg=2, Azm=185; (P) Val=-1.00, Plg=27, Azm=276; Best double couple: Mo=9.9*10**17 Nm; NP1: Strike=12, Dip=18, Slip=97; NP2: Strike=184, Dip=72, Slip=88. Scalar Moment (PPT): Mo=2.0*10**18 Nm."
1148675866500,-5.7,146.14,77.0,4.0,,C,1.2,141,10,"EASTERN NEW GUINEA REG, PAPUA NEW GUINEA"
857077682299,29.976,68.208,33.0,6.3,7.3,,1.2,,362,"PAKISTAN. Mw 7.1 (HRV), 7.0 (GS), 6.8 (OBN). Me 6.7 (GS). At least 57 people killed, hundreds injured, thousands homeless, more than 500 houses damaged or destroyed and hundreds of livestock killed in the Harnai-Sibi area. Roads and railroads in the area blocked by landslides. Three people killed and several injured in the Quetta area. Felt throughout much of central Baluchistan. Broadband Source Parameters (GS): Dep 22; NP1: Strike=345, Dip=30, Slip=150; NP2: Strike=102, Dip=76, Slip=63; Radiated energy 2.8*10**14 Nm. Complex earthquake, with two events occurring about 5 seconds apart. Depth based on first event. Moment Tensor (GS): Dep 7; Principal axes (scale 10**19 Nm): (T) Val=3.97, Plg=48, Azm=3; (N) Val=-0.02, Plg=5, Azm=99; (P) Val=-3.95, Plg=41, Azm=194; Best double couple: Mo=4.0*10**19 Nm; NP1: Strike=334, Dip=7, Slip=145; NP2: Strike=98, Dip=86, Slip=85. Centroid, Moment Tensor (HRV): Centroid origin time 21:08:13.6; Lat 29.74 N; Lon 68.13 E; Dep 15.3; Half- duration 7.9 sec; Principal axes (scale 10**19 Nm): (T) Val=5.16, Plg=57, Azm=344; (N) Val=0.07, Plg=8, Azm=87; (P) Val=-5.23, Plg=31, Azm=182; Best double couple: Mo=5.2*10**19 Nm; NP1: Strike=298, Dip=15, Slip=122; NP2: Strike=85, Dip=77, Slip=82. Scalar Moment (PPT): Mo=3.2*10**19 Nm. Scalar Moment (OBN): Mo=2.0*10**19 Nm."
944602182399,-15.871,-174.137,120.0,5.4,,,1.2,,250,TONGA ISLANDS
1041219162700,-8.81,110.717,33.0,4.0,,,0.9,204,9,"JAVA, INDONESIA"
1036070721100,17.23,145.56,360.0,4.2,,,1.3,138,11,"ALAMAGAN REG., NORTHERN MARIANA ISLANDS"
810651907099,-23.193,-70.599,61.0,4.2,,,1.4,,15,NEAR COAST OF NORTHERN CHILE
1300447523399,-17.625,167.342,10.0,4.5,,A,1.1,81,15,VANUATU
799622444799,45.06,147.43,33.0,4.4,,,1.0,,7,KURIL ISLANDS
963270122600,-21.963,-179.913,600.0,4.4,,,0.5,176,13,FIJI ISLANDS REGION
1366727539600,-4.875,134.093,35.0,4.7,,A,1.1,111,25,"NEAR THE SOUTH COAST OF PAPUA, INDONESIA"
881524822899,37.151,20.989,33.0,4.0,,,1.3,,28,IONIAN SEA
1275616826000,-35.79,-72.553,65.0,4.3,,,,,13,"MAULE, CHILE. <GUC>. Felt (IV) at Cauquenes and Chanco; (II) at Empedrado, Parral and Pencahue."
1108901691799,-4.694,153.108,47.0,5.3,4.8,A,0.9,28,185,"NEW IRELAND REGION, PAPUA NEW GUINEA. MW 5.5 (GS), 5.5 (HRV). Moment Tensor (GS): Dep 40 km; Principal axes (scale 10**17 Nm): (T) Val=2.21, Plg=27, Azm=20; (N) Val=0.11, Plg=53, Azm=247; (P) Val=-2.32, Plg=23, Azm=122; Best double couple: Mo=2.3*10**17 Nm; NP1: Strike=162, Dip=53, Slip=3; NP2: Strike=70, Dip=87, Slip=143. Centroid, Moment Tensor (HRV): Centroid origin time 12:14:53.8; Lat 4.83 S; Lon 153.06 E; Dep 25.6 km; Half-duration 1.4 sec; Principal axes (scale 10**17 Nm): (T) Val=2.29, Plg=44, Azm=354; (N) Val=0.34, Plg=9, Azm=255; (P) Val=-2.63, Plg=45, Azm=156; Best double couple: Mo=2.5*10**17 Nm; NP1: Strike=162, Dip=9, Slip=-3; NP2: Strike=255, Dip=90, Slip=-99."
1157983499100,28.02,129.902,28.0,4.8,,A,1.0,120,37,"RYUKYU ISLANDS, JAPAN. MW 4.5 (NIED). Moment Tensor (NIED): Dep 11 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=7.9*10**15 Nm; NP1: Strike=330, Dip=80, Slip=166; NP2: Strike=62, Dip=76, Slip=11."
1168123335800,-17.56,-178.91,636.0,3.8,,C,0.5,122,12,FIJI REGION
