time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1107067019799,7.708,94.13,20.0,4.8,,B,1.3,81,40,"NICOBAR ISLANDS, INDIA REGION"
1365933068099,15.436,-46.639,10.0,5.1,,A,0.8,30,274,NORTHERN MID-ATLANTIC RIDGE
1362388020500,-11.068,165.1,10.0,4.2,,A,0.8,84,19,SANTA CRUZ ISLANDS
1279172057000,-36.675,-73.073,30.0,4.4,,,,,6,"OFFSHORE BIO-BIO, CHILE. <GUC>. ML 4.0 (GUC). Felt (IV) at Penco, Talcahuano and Tome; (III) at Concepcion; (II) at La Laja and San Rosendo."
1117712111000,36.15,-89.47,15.0,3.7,,,,,68,"TENNESSEE. <CERI>. MW 3.9 (SLM). Felt (IV) at Dyersburg, Finley, Newbern, Obion, Tiptonville and Ridgely; (III) at Alamo, Atoka, Brighton, Brownsville, Burilson, Covington, Drummonds, Dyer, Friendship, Halls, Hornbeak, Jackson, Martin, Memphis, Munford, Paris, Ripley, Trenton and Troy. Also felt (IV) at Caruthersville, Portageville and Steele, Missouri. Felt (III) at Blytheville, Arkansas; Paducah, Kentucky and Hayti, Missouri. Felt in parts of Arkansas, Illinois, Kentucky, Mississippi, Missouri and Tennessee. Moment Tensor (SLM): Dep 15 km; Principal axes (scale 10**14 Nm): (T) Val=7.67, Plg=64, Azm=31; (N) Val=0.00, Plg=18, Azm=164; (P) Val=-7.67, Plg=18, Azm=260; Best double couple: Mo=7.7*10**14 Nm; NP1: Strike=155, Dip=65, Slip=70; NP2: Strike=16, Dip=32, Slip=126."
798217832799,9.003,94.032,27.0,4.7,,,0.8,,29,"NICOBAR ISLANDS, INDIA"
1207780715299,12.429,123.988,35.0,3.8,,B,0.9,158,10,"MASBATE REGION, PHILIPPINES. Felt (III PIVS) at Masbate. Felt (II PIVS) at Irosin, Luzon."
1176145284100,-30.881,-72.049,23.0,4.7,,B,1.3,120,22,"OFFSHORE COQUIMBO, CHILE"
774448852500,18.39,122.69,33.0,4.1,,,1.5,,7,"LUZON, PHILIPPINE ISLANDS"
1005354304700,-10.647,164.535,33.0,4.9,4.8,,1.0,110,46,"SANTA CRUZ ISLANDS REGION. MW 5.1 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 01:05:05.6; Lat 10.65 S Fix; Lon 164.54 E Fix; Dep 15.0 km Fix; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=4.41, Plg=0, Azm=167; (N) Val=1.59, Plg=79, Azm=257; (P) Val=-6.00, Plg=11, Azm=77; Best double couple: Mo=5.2*10**16 Nm; NP1: Strike=213, Dip=82, Slip=-172; NP2: Strike=122, Dip=82, Slip=-8."
855386151700,-14.84,-173.91,33.0,3.4,,,0.8,,9,SAMOA ISLANDS REGION
998088770700,24.112,126.19,33.0,4.3,,,1.4,134,11,"RYUKYU ISLANDS, JAPAN"
1223145086000,12.325,144.179,7.0,4.9,,C,1.0,71,64,GUAM REGION
1154359883800,-26.202,-177.765,153.0,3.7,,B,0.4,139,16,SOUTH OF THE FIJI ISLANDS
939561055000,35.643,141.836,52.0,4.5,,,0.9,,38,"NEAR EAST COAST OF HONSHU, JAPAN"
1346127616000,37.307,143.818,35.0,4.6,,B,1.3,140,23,"OFF THE EAST COAST OF HONSHU, JAPAN"
794629513199,13.187,120.964,33.0,4.9,,,0.7,,23,"MINDORO, PHILIPPINE ISLANDS"
1345446931000,-17.73,-173.76,25.0,4.3,,B,1.0,143,22,TONGA
867183281100,51.641,16.243,5.0,4.4,,,0.9,,31,"POLAND. ML 4.3 (GRF), 4.0 (FUR), 4.0 (VIE)."
805482555400,-25.524,179.549,509.0,4.5,,,1.2,,37,SOUTH OF FIJI ISLANDS
