time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
830951254799,11.054,-62.475,78.0,4.0,,,1.1,,22,WINDWARD ISLANDS. MD 3.9 (TRN). Felt (II) on Trinidad.
1324747051100,27.813,66.598,35.0,4.9,,B,1.4,133,22,PAKISTAN
1255472427699,-22.764,-12.765,10.0,4.3,,A,0.7,68,27,SOUTHERN MID-ATLANTIC RIDGE
1251498285700,42.407,143.902,50.0,4.9,,A,0.9,131,50,"HOKKAIDO, JAPAN REGION. MW 4.3 (NIED). Recorded (2 JMA) in southeastern Hokkaido. Moment Tensor (NIED): Dep 35 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=4.0*10**15 Nm; NP1: Strike=101, Dip=76, Slip=-78; NP2: Strike=240, Dip=18, Slip=-129."
820834498399,-31.5,179.77,400.0,4.1,,,1.1,,15,KERMADEC ISLANDS REGION
1027345876399,43.236,-126.192,10.0,3.8,,,0.8,202,72,OFF THE COAST OF OREGON
919675042199,-21.523,169.802,33.0,3.9,,,1.3,,14,LOYALTY ISLANDS REGION
1187938640600,-14.374,167.222,153.0,4.3,,B,1.0,136,20,VANUATU
1347053705799,11.78,143.317,35.0,4.2,,A,0.7,123,16,SOUTH OF THE MARIANA ISLANDS
797409353899,0.021,126.552,53.0,5.2,4.4,,1.1,,86,"NORTHERN MOLUCCA SEA. Mw 5.4 (HRV). Felt (III) at Ternate, Indonesia."
1201176505800,0.944,97.14,10.0,4.3,,B,0.5,161,11,"NIAS REGION, INDONESIA"
1117448566000,51.202,179.56,55.0,4.1,,A,0.8,193,40,"RAT ISLANDS, ALEUTIAN ISLANDS, ALASKA. ML 4.0 (AEIC)."
930960669400,36.527,70.973,199.0,4.1,,,0.9,,51,"HINDU KUSH REGION, AFGHANISTAN"
831248862700,46.968,144.736,400.0,3.6,,,0.9,,17,SEA OF OKHOTSK
1300629335200,36.647,142.166,35.0,4.2,,B,1.1,193,15,"OFF THE EAST COAST OF HONSHU, JAPAN"
835493891599,51.589,159.599,33.0,4.2,,,1.1,,30,OFF EAST COAST OF KAMCHATKA
924268834500,55.811,110.687,10.0,3.4,,,1.4,,6,"LAKE BAYKAL REGION, RUSSIA"
1185030681800,34.084,81.969,10.0,4.9,,A,0.9,58,128,WESTERN XIZANG
787031769099,43.681,147.553,47.0,4.7,,,1.1,,47,KURIL ISLANDS
1349964413299,2.335,89.782,10.0,4.4,,A,0.7,175,23,NORTH INDIAN OCEAN
1080616920900,-20.427,-178.291,554.0,4.6,,B,0.9,80,54,FIJI REGION
1048690553600,-7.25,155.765,33.0,4.7,,,0.9,128,41,SOLOMON ISLANDS
832765587300,-25.721,69.837,10.0,4.3,,,0.7,,19,SOUTH INDIAN OCEAN
1166234087799,55.824,109.916,10.0,4.3,,A,1.0,106,30,"LAKE BAYKAL REGION, RUSSIA"
1106036383700,47.516,-27.47,10.0,4.0,,A,0.9,97,19,NORTHERN MID-ATLANTIC RIDGE
1112046377800,1.221,97.148,19.0,4.9,,B,0.8,71,55,"NIAS REGION, INDONESIA"
1048798059000,27.515,139.968,519.0,3.5,,,0.5,149,22,"BONIN ISLANDS, JAPAN REGION"
