time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
820037701100,30.232,88.265,33.0,4.4,,,1.2,,47,XIZANG
1289023755400,37.23,71.73,123.0,4.4,,A,1.1,58,44,TAJIKISTAN
958010695500,-1.638,123.491,33.0,4.7,,,1.4,,23,"SULAWESI, INDONESIA"
1254722770599,29.543,140.602,111.0,4.7,,A,0.9,80,66,"IZU ISLANDS, JAPAN REGION. MW 4.6 (NIED). Moment Tensor (NIED): Dep 83 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=1.1*10**16 Nm; NP1: Strike=164, Dip=83, Slip=-81; NP2: Strike=290, Dip=11, Slip=-144."
848992722200,-11.41,165.29,33.0,4.3,,,1.4,,14,SANTA CRUZ ISLANDS
1144420242500,-17.883,-178.508,574.0,4.5,,A,0.8,120,50,FIJI REGION
952454957500,3.605,96.101,77.0,4.8,,,1.1,,48,"NORTHERN SUMATERA, INDONESIA"
836023355399,-2.905,138.734,33.0,4.0,,,0.9,,13,"IRIAN JAYA, INDONESIA"
868788840500,-19.22,-177.75,500.0,3.8,,,0.7,,9,FIJI ISLANDS REGION
1297655667699,34.65,32.969,10.0,3.8,,,,,26,"CYPRUS REGION. <NIC>. ML 3.9 (NIC), 3.7 (ISK). Felt at Akhelia, Akrotiri, Episkopion, Kandou, Kissonerga and Limassol."
1224636714100,10.786,124.128,35.0,4.0,,B,0.8,135,13,"LEYTE, PHILIPPINES"
1210947296000,46.57,152.85,35.0,3.8,,C,0.5,253,10,KURIL ISLANDS
1057977765000,12.643,94.981,33.0,5.3,5.0,,0.9,59,176,"ANDAMAN ISLANDS, INDIA REGION. MW 5.3 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 02:42:43.4; Lat 12.51 N; Lon 95.00 E; Dep 19.5 km; Half-duration 1.1 sec; Principal axes (scale 10**17 Nm): (T) Val=1.14, Plg=5, Azm=135; (N) Val=-0.02, Plg=81, Azm=257; (P) Val=-1.11, Plg=8, Azm=45; Best double couple: Mo=1.1*10**17 Nm; NP1: Strike=180, Dip=81, Slip=-178; NP2: Strike=90, Dip=88, Slip=-9."
1272163500900,-33.874,-72.231,25.0,4.4,,B,0.9,121,26,"OFFSHORE LIBERTADOR O'HIGGINS, CHILE"
1062085913200,19.749,121.49,48.0,4.7,,,0.8,106,11,"BABUYAN ISLANDS REGION, PHILIPPINES"
1147889488500,34.38,138.11,296.0,3.8,,C,0.9,182,11,"NEAR THE SOUTH COAST OF HONSHU, JAPAN"
1151062316700,-47.132,32.517,10.0,4.6,,B,0.7,113,12,PRINCE EDWARD ISLANDS REGION
820834402800,-6.465,130.644,33.0,5.0,4.5,,1.2,,93,BANDA SEA
978205372700,24.317,122.974,56.0,5.1,,,1.0,89,96,"TAIWAN REGION. Recorded (1 JMA) on Iriomote-jima and Yonaguni-jima, Ryukyu Islands."
939921962399,51.399,151.098,493.0,4.1,,,1.0,,21,SEA OF OKHOTSK
1019755814199,35.434,81.288,60.0,4.0,,,1.3,125,8,"SOUTHERN XINJIANG, CHINA"
821361213299,-6.04,147.17,33.0,3.9,,,0.2,,6,"EASTERN NEW GUINEA REG., P.N.G."
807110839699,-24.146,-70.276,33.0,4.6,,,0.8,,35,NEAR COAST OF NORTHERN CHILE
1207583651000,-37.2,176.79,359.0,3.8,,A,0.6,123,34,NORTH ISLAND OF NEW ZEALAND
824805525200,-0.794,136.971,33.0,4.0,,,0.7,,14,"IRIAN JAYA REGION, INDONESIA"
954860370699,-5.296,154.066,122.0,4.4,,,0.9,,11,SOLOMON ISLANDS
926061470100,29.811,51.971,33.0,4.4,,,1.0,,21,SOUTHERN IRAN
