time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1288361511000,-29.454,-71.736,42.0,5.0,,,,,100,"OFFSHORE COQUIMBO, CHILE. <GUC>. MW 5.2 (GCMT). Felt (IV) at Coquimbo, La Higuera and La Serena; (III) at Andacollo, Rio Hurtado and Vicuna; (II) at Freirina, Huasco, Monte Patria, Ovalle, Paihuano and Vallenar. Centroid, Moment Tensor (GCMT): Centroid origin time 14:11:55.6; Lat 29.62 S; Lon 72.03 W; Dep 30.4 km; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=8.27, Plg=55, Azm=135; (N) Val=-0.06, Plg=25, Azm=3; (P) Val=-8.20, Plg=23, Azm=262; Best double couple: Mo=8.2*10**16 Nm; NP1: Strike=313, Dip=31, Slip=36; NP2: Strike=192, Dip=72, Slip=116."
1262448560899,14.262,-92.435,46.0,4.8,,A,1.2,99,156,"OFFSHORE CHIAPAS, MEXICO. MW 4.9 (GCMT). MD 4.4 (UNM). Centroid, Moment Tensor (GCMT): Centroid origin time 16:09:21.9; Lat 14.12 N; Lon 92.92 W; Dep 24.6 km; Half-duration 0.7 sec; Principal axes (scale 10**16 Nm): (T) Val=3.32, Plg=63, Azm=58; (N) Val=-0.46, Plg=7, Azm=313; (P) Val=-2.87, Plg=26, Azm=220; Best double couple: Mo=3.1*10**16 Nm; NP1: Strike=294, Dip=20, Slip=69; NP2: Strike=136, Dip=71, Slip=98."
947905464800,-16.912,167.437,33.0,4.0,,,1.0,,14,VANUATU ISLANDS
1102002708000,39.256,27.963,11.0,4.3,,,,,117,WESTERN TURKEY. <ISK>. ML 4.4 (ISK). MD 4.3 (ATH).
1105282288399,-8.183,124.906,15.0,4.4,,A,1.0,115,22,"KEPULAUAN ALOR, INDONESIA"
871839843799,-20.478,-176.203,300.0,4.0,,,1.0,,17,FIJI ISLANDS REGION
1034332460699,-6.091,102.833,33.0,4.6,,,1.0,80,32,"SOUTHWEST OF SUMATRA, INDONESIA"
891344643500,-5.022,151.25,178.0,5.2,,,0.8,,213,"NEW BRITAIN REGION, P.N.G. Mw 5.4 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 11:44:05.2; Lat 5.12 S; Lon 151.48 E; Dep 162.0; Half- duration 1.2 sec; Principal axes (scale 10**17 Nm): (T) Val=1.30, Plg=52, Azm=278; (N) Val=-0.12, Plg=17, Azm=30; (P) Val=-1.18, Plg=34, Azm=132; Best double couple: Mo=1.2*10**17 Nm; NP1: Strike=269, Dip=19, Slip=150; NP2: Strike=27, Dip=81, Slip=73."
1374962580100,2.64,90.219,10.0,4.6,,A,0.4,103,27,OFF THE WEST COAST OF NORTHERN SUMATRA
940251288200,-6.305,103.831,33.0,4.8,,,1.2,,16,"SOUTHWEST OF SUMATERA, INDONESIA"
1205322668699,2.624,95.506,35.0,4.9,,A,0.6,200,32,"SIMEULUE, INDONESIA"
1135605349200,26.817,141.045,35.0,4.3,,A,0.9,118,26,"BONIN ISLANDS, JAPAN REGION"
1212845444299,34.434,82.804,10.0,3.6,,B,1.2,158,11,WESTERN XIZANG
941428766600,37.046,69.951,33.0,3.8,,,0.5,,7,AFGHANISTAN-TAJIKISTAN BORD REG.
995338576899,36.296,71.282,134.0,3.8,,,0.9,124,11,AFGHANISTAN-TAJIKISTAN BORD REG.
1039541595300,-23.53,170.31,10.0,4.7,,,1.5,118,11,SOUTHEAST OF THE LOYALTY ISLANDS
1283590324099,-17.368,-173.999,69.0,5.9,,A,0.8,21,371,"TONGA. MW 6.1 (GS), 6.1 (GCMT), 6.0 (UCMT), 6.0 (WCMT). ME 5.9 (GS). Felt (II) at Apia, Samoa. Broadband Source Parameters (GS): Dep 69 km; Fault plane solution: NP1: Strike=185, Dip=65, Slip=100; NP2: Strike=342, Dip=27, Slip=70; Rupture duration 3.0 sec; Radiated energy 1.7*10**13 Nm. Centroid, Moment Tensor (UCMT): Centroid origin time 08:52:25.5; Lat 17.06 S; Lon 173.67 W; Dep 70.0 km; Principal axes (scale 10**18 Nm): (T) Val=1.36, Plg=67, Azm=129; (N) Val=0.17, Plg=13, Azm=4; (P) Val=-1.53, Plg=17, Azm=270; Best double couple: Mo=1.4*10**18 Nm; NP1: Strike=340, Dip=30, Slip=62; NP2: Strike=191, Dip=64, Slip=105. Centroid, Moment Tensor (WCMT): Centroid origin time 08:52:01.0; Lat 17.27 S; Lon 174.00 W; Dep 80.0 km; Principal axes (scale 10**18 Nm): (T) Val=1.31, Plg=56, Azm=148; (N) Val=-0.04, Plg=25, Azm=12; (P) Val=-1.27, Plg=20, Azm=272; Best double couple: Mo=1.3*10**18 Nm; NP1: Strike=325, Dip=33, Slip=37; NP2: Strike=202, Dip=70, Slip=117. Moment Tensor (GS): Dep 71 km; Principal axes (scale 10**18 Nm): (T) Val=2.08, Plg=61, Azm=112; (N) Val=-0.66, Plg=25, Azm=320; (P) Val=-1.41, Plg=11, Azm=224; Best double couple: Mo=1.8*10**18 Nm; NP1: Strike=286, Dip=40, Slip=49; NP2: Strike=156, Dip=61, Slip=119. Centroid, Moment Tensor (GCMT): Centroid origin time 08:52:09.6; Lat 17.33 S; Lon 173.54 W; Dep 83.1 km Fix; Half-duration 2.6 sec; Principal axes (scale 10**18 Nm): (T) Val=1.46, Plg=59, Azm=134; (N) Val=0.02, Plg=23, Azm=1; (P) Val=-1.48, Plg=21, Azm=262; Best double couple: Mo=1.5*10**18 Nm; NP1: Strike=318, Dip=32, Slip=43; NP2: Strike=190, Dip=69, Slip=114."
844687162199,-7.232,122.979,600.0,4.8,,,1.0,,26,FLORES SEA
880798161800,-27.77,-13.188,10.0,4.7,,,1.1,,11,SOUTHERN MID-ATLANTIC RIDGE
994463392200,38.12,20.3,5.0,4.0,,,,,15,GREECE. <ATH>. MD 3.5 (ATH).
834401307500,51.303,-178.233,33.0,5.0,,,0.8,,180,"ANDREANOF ISLANDS, ALEUTIAN IS."
1284067567599,-4.808,-80.759,89.0,4.1,,B,1.6,91,25,"PERU-ECUADOR BORDER REGION. Felt (II) at Paita, Peru."
987238273800,-17.093,168.386,17.0,5.1,5.3,,1.1,49,93,"VANUATU ISLANDS. MW 5.6 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 08:51:18.9; Lat 16.99 S; Lon 168.63 E; Dep 22.1; Half- duration 1.7 sec; Principal axes (scale 10**17 Nm): (T) Val=3.15, Plg=13, Azm=40; (N) Val=-0.23, Plg=77, Azm=224; (P) Val=-2.92, Plg=1, Azm=130; Best double couple: Mo=3.0*10**17 Nm; NP1: Strike=176, Dip=81, Slip=8; NP2: Strike=85, Dip=82, Slip=170."
1074332870100,-20.75,-174.241,45.0,4.8,4.5,C,0.6,119,29,TONGA
1095405049799,-19.85,-175.96,274.0,4.0,,C,1.3,121,17,TONGA
1320463425799,38.72,43.241,5.0,4.3,,,,,40,EASTERN TURKEY. <ISK>. ML 4.4 (ISK).
1106894823899,8.037,93.751,30.0,4.5,,B,1.1,103,27,"NICOBAR ISLANDS, INDIA REGION"
820499433799,54.48,159.63,33.0,3.8,,,0.3,,6,NEAR EAST COAST OF KAMCHATKA
1085697326000,10.731,-41.006,10.0,4.7,4.4,A,0.8,48,134,NORTHERN MID-ATLANTIC RIDGE
1369728171000,4.889,96.071,35.0,4.0,,A,0.7,193,12,"NORTHERN SUMATRA, INDONESIA"
1100238067500,-8.76,124.99,10.0,4.2,,C,1.3,165,7,"KEPULAUAN ALOR, INDONESIA"
1203607872300,9.001,121.983,10.0,4.2,,B,0.9,117,11,SULU SEA
1314670562299,-27.675,-67.389,122.0,4.7,,A,0.8,53,199,"CATAMARCA, ARGENTINA. MD 4.8 (SJA). Felt (IV) in the Tinogasta area. Felt (II) at Copiapo, Los Loros and Tierra Amarilla, Chile."
1260181108399,20.905,121.174,35.0,4.4,,A,0.8,119,37,"BATAN ISLANDS REGION, PHILIPPINES"
1328036402899,-2.855,129.623,39.0,4.5,,B,1.6,118,24,"SERAM, INDONESIA"
1176045842100,-7.33,155.989,10.0,4.4,,B,1.1,151,9,SOLOMON ISLANDS
812500044500,36.533,141.016,60.0,4.1,,,1.1,,21,"NEAR EAST COAST OF HONSHU, JAPAN"
1222179099100,-25.299,-179.395,433.0,4.4,,B,0.9,122,22,SOUTH OF THE FIJI ISLANDS
834747665599,3.14,126.915,33.0,4.5,,,1.1,,31,"TALAUD ISLANDS, INDONESIA"
980137913600,18.797,145.387,227.0,4.0,,,0.9,133,11,MARIANA ISLANDS
1216897622700,-21.343,170.48,144.0,5.0,,B,0.6,93,25,SOUTHEAST OF THE LOYALTY ISLANDS
1049183468800,40.771,30.726,10.0,4.1,,,1.0,163,37,WESTERN TURKEY. Felt at Akyazi.
977298970599,-49.719,125.941,10.0,4.7,,,0.8,162,9,WESTERN INDIAN-ANTARCTIC RIDGE
837108476200,44.942,37.911,33.0,4.0,,,1.4,,19,NORTHWESTERN CAUCASUS. Felt (IV) at Myskhako and Novorossiysk; (III) at Abrau-Dyurso and Verkhnebakanskiy; (II) at Anapa.
1155062749299,36.903,27.916,7.0,3.9,,B,0.9,49,24,"DODECANESE ISLANDS, GREECE. MD 3.6 (ATH)."
839545955100,11.977,125.677,33.0,5.4,5.5,,1.1,,130,"SAMAR, PHILIPPINE ISLANDS. Mw 5.8 (HRV). Felt (IV RF) at Palo, Leyte. Centroid, Moment Tensor (HRV): Centroid origin time 23:12:37.3; Lat 11.86 N; Lon 126.09 E; Dep 15.0 Fix; Half- duration 2.0 sec; Principal axes (scale 10**17 Nm): (T) Val=5.52, Plg=63, Azm=260; (N) Val=0.28, Plg=3, Azm=355; (P) Val=-5.80, Plg=27, Azm=87; Best double couple: Mo=5.7*10**17 Nm; NP1: Strike=183, Dip=18, Slip=99; NP2: Strike=354, Dip=72, Slip=87."
1000520743399,-1.283,-77.119,150.0,3.9,,,1.0,157,11,ECUADOR
769944320699,35.256,-3.992,24.0,3.9,,,1.1,,30,STRAIT OF GIBRALTAR. mbLg 4.0 (MDD). MD 3.6 (RBA).
1154244339899,51.989,177.058,11.0,4.3,,B,0.8,96,37,"RAT ISLANDS, ALEUTIAN ISLANDS, ALASKA. ML 4.0 (AEIC)."
1064966398700,-30.47,-177.27,10.0,4.8,,,0.9,264,7,"KERMADEC ISLANDS, NEW ZEALAND"
1103139330800,-24.36,-13.271,10.0,5.0,4.8,A,0.9,106,87,"SOUTHERN MID-ATLANTIC RIDGE. MW 5.1 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 19:35:33.1; Lat 24.26 S; Lon 13.14 W; Dep 12.0 km Fix; Half-duration 0.8 sec; Principal axes (scale 10**16 Nm): (T) Val=4.84, Plg=19, Azm=286; (N) Val=-0.55, Plg=13, Azm=20; (P) Val=-4.28, Plg=66, Azm=143; Best double couple: Mo=4.6*10**16 Nm; NP1: Strike=354, Dip=28, Slip=-119; NP2: Strike=207, Dip=65, Slip=-75."
830096165200,20.067,120.335,33.0,4.1,,,0.6,,17,PHILIPPINE ISLANDS REGION
1106548153599,7.19,92.512,30.0,4.6,,B,0.2,214,8,"NICOBAR ISLANDS, INDIA REGION"
1170474035899,23.719,143.152,24.0,4.4,,C,0.9,99,18,"VOLCANO ISLANDS, JAPAN REGION"
992531383500,-17.776,-179.504,600.0,4.7,,,1.4,181,41,FIJI ISLANDS REGION
1170890007699,40.11,19.64,26.0,3.9,,,,,136,"ADRIATIC SEA. <ATH>. ML 4.3 (ATH), 3.8 (ROM)."
929621949300,17.9,-46.48,10.0,4.4,,,0.8,,9,NORTHERN MID-ATLANTIC RIDGE
942620115900,40.736,31.559,10.0,4.1,,,1.2,,16,TURKEY
1206731569899,51.892,-178.524,123.0,3.7,,,,,22,"ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA. <AEIC>."
1006289630100,-7.471,107.075,33.0,4.8,,,1.0,65,32,"JAVA, INDONESIA"
1348955482300,39.659,144.0,10.0,4.5,,A,1.2,135,44,"OFF THE EAST COAST OF HONSHU, JAPAN"
799098373800,43.24,147.137,33.0,4.5,,,1.0,,11,KURIL ISLANDS
935539784700,-18.37,-173.02,33.0,4.4,,,1.3,,13,TONGA ISLANDS
