time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
881340118399,54.073,161.841,33.0,4.2,,,0.5,,16,NEAR EAST COAST OF KAMCHATKA
1216213856500,-4.802,152.275,35.0,3.9,,B,1.3,90,10,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1330404028600,36.321,142.118,6.0,4.9,,A,0.9,111,166,"OFF THE EAST COAST OF HONSHU, JAPAN. Recorded (1 JMA) in Ibaraki."
1299822945399,37.359,143.351,35.0,6.4,,A,1.4,71,108,"OFF THE EAST COAST OF HONSHU, JAPAN"
1167903961899,-15.902,-174.237,174.0,4.1,,B,0.9,140,11,TONGA
1273481035100,-7.511,153.442,35.0,4.1,,B,1.1,85,14,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1359506580600,-11.012,165.623,17.0,4.2,,C,1.1,118,18,SANTA CRUZ ISLANDS
952998370000,-21.013,-178.715,584.0,4.7,,,0.9,,149,FIJI ISLANDS REGION
1371280350600,-6.73,148.521,64.0,4.2,,A,0.9,77,18,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1059435848199,5.485,126.306,33.0,4.7,,,1.2,98,47,"MINDANAO, PHILIPPINES"
766463522799,35.507,135.503,358.0,5.0,,,0.9,,241,"WESTERN HONSHU, JAPAN"
796665006900,-25.16,-179.913,481.0,4.9,,,1.3,,34,SOUTH OF FIJI ISLANDS
1085621148600,2.301,98.45,104.0,4.2,,B,1.2,120,15,"NORTHERN SUMATRA, INDONESIA"
844680236899,-22.113,-179.577,606.0,5.2,,,0.8,,149,"SOUTH OF FIJI ISLANDS. Mw 5.5 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 09:24:02.0; Lat 21.83 S; Lon 179.45 W; Dep 599.5; Half- duration 1.3 sec; Principal axes (scale 10**17 Nm): (T) Val=1.68, Plg=30, Azm=81; (N) Val=0.17, Plg=4, Azm=348; (P) Val=-1.85, Plg=59, Azm=252; Best double couple: Mo=1.8*10**17 Nm; NP1: Strike=183, Dip=15, Slip=-75; NP2: Strike=347, Dip=76, Slip=-94."
991427816700,-7.199,154.923,33.0,5.6,5.7,,1.1,33,153,"SOLOMON ISLANDS. MW 5.9 (HRV), 5.8 (GS). ME 5.9 (GS). Broadband Source Parameters (GS): Dep 8; Fault plane solution: NP1: Strike=110, Dip=70, Slip=90; NP2: Strike=290, Dip=20, Slip=90; Radiated energy 1.5*10**13 Nm. Moment Tensor (GS): Dep 12; Principal axes (scale 10**17 Nm): (T) Val=6.18, Plg=56, Azm=21; (N) Val=-0.01, Plg=13, Azm=132; (P) Val=-6.17, Plg=31, Azm=230; Best double couple: Mo=6.2*10**17 Nm; NP1: Strike=356, Dip=19, Slip=136; NP2: Strike=129, Dip=77, Slip=76. Centroid, Moment Tensor (HRV): Centroid origin time 20:37:01.0; Lat 7.33 S; Lon 154.92 E; Dep 15.0 Bdy; Half-duration 2.2 sec; Principal axes (scale 10**17 Nm): (T) Val=8.19, Plg=68, Azm=16; (N) Val=-0.40, Plg=4, Azm=117; (P) Val=-7.79, Plg=22, Azm=208; Best double couple: Mo=8.0*10**17 Nm; NP1: Strike=307, Dip=23, Slip=101; NP2: Strike=115, Dip=67, Slip=85."
940698484000,23.484,120.613,33.0,4.8,,,1.1,,54,"TAIWAN. Felt (V JMA) at Chia-i, (IV JMA) at Tai-nan and (II JMA) at Tai-chung."
1115080737700,25.764,91.059,34.0,4.3,,B,1.6,90,14,"MEGHALAYA, INDIA REGION"
1106836507099,7.98,94.116,30.0,5.0,4.4,A,1.2,66,63,"NICOBAR ISLANDS, INDIA REGION. MW 5.1 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 14:35:09.2; Lat 7.95 N; Lon 94.20 E; Dep 22.3 km; Half- duration 0.9 sec; Principal axes (scale 10**16 Nm): (T) Val=5.76, Plg=16, Azm=117; (N) Val=-0.69, Plg=61, Azm=239; (P) Val=-5.07, Plg=23, Azm=20; Best double couple: Mo=5.4*10**16 Nm; NP1: Strike=160, Dip=62, Slip=-175; NP2: Strike=67, Dip=85, Slip=-28."
1078873372399,-32.447,-177.875,10.0,4.9,,B,1.0,222,12,SOUTH OF THE KERMADEC ISLANDS
1112939767099,-0.461,97.768,30.0,4.7,,A,0.7,111,21,"KEPULAUAN BATU, INDONESIA"
820646823899,-8.878,118.43,33.0,4.6,,,0.9,,26,"SUMBAWA REGION, INDONESIA"
1281760190299,12.627,141.963,10.0,4.3,,B,0.9,115,15,MARIANA ISLANDS REGION
1279932613599,6.552,123.632,590.0,4.8,,A,0.7,42,80,"MORO GULF, MINDANAO, PHILIPPINES"
1324896030699,23.355,94.255,74.0,4.7,,A,0.6,143,31,MYANMAR
1231431530100,-0.411,132.934,18.0,5.4,4.9,A,1.0,39,124,"NEAR THE NORTH COAST OF PAPUA, INDONESIA. MW 5.5 (GCMT), 5.4 (GS). Felt (III) at Manokwari. Moment Tensor (GS): Dep 18 km; Principal axes (scale 10**17 Nm): (T) Val=1.62, Plg=1, Azm=102; (N) Val=0.10, Plg=75, Azm=199; (P) Val=-1.72, Plg=14, Azm=11; Best double couple: Mo=1.7*10**17 Nm; NP1: Strike=56, Dip=81, Slip=-12; NP2: Strike=148, Dip=79, Slip=-171. Centroid, Moment Tensor (GCMT): Centroid origin time 16:18:53.8; Lat 0.39 S; Lon 132.80 E; Dep 27.6 km; Half-duration 1.3 sec; Principal axes (scale 10**17 Nm): (T) Val=1.94, Plg=10, Azm=90; (N) Val=0.32, Plg=74, Azm=219; (P) Val=-2.27, Plg=12, Azm=358; Best double couple: Mo=2.1*10**17 Nm; NP1: Strike=135, Dip=74, Slip=-178; NP2: Strike=44, Dip=88, Slip=-16."
987275774199,12.91,144.58,33.0,5.5,4.8,,1.0,47,173,"SOUTH OF MARIANA ISLANDS. MW 5.4 (HRV), 5.3 (GS). Felt on Guam. Moment Tensor (GS): Dep 34; Principal axes (scale 10**17 Nm): (T) Val=1.05, Plg=28, Azm=324; (N) Val=-0.03, Plg=50, Azm=94; (P) Val=-1.02, Plg=26, Azm=219; Best double couple: Mo=1.0*10**17 Nm; NP1: Strike=1, Dip=50, Slip=178; NP2: Strike=92, Dip=88, Slip=40. Centroid, Moment Tensor (HRV): Centroid origin time 19:16:19.7; Lat 12.87 N; Lon 145.24 E; Dep 25.5; Half- duration 1.0 sec; Principal axes (scale 10**17 Nm): (T) Val=1.30, Plg=39, Azm=346; (N) Val=-0.11, Plg=9, Azm=83; (P) Val=-1.20, Plg=50, Azm=185; Best double couple: Mo=1.2*10**17 Nm; NP1: Strike=25, Dip=11, Slip=-149; NP2: Strike=264, Dip=84, Slip=-81."
1031022274600,-9.401,119.44,33.0,4.6,,,1.1,47,40,"SUMBA REGION, INDONESIA"
901247788500,11.586,143.253,33.0,4.3,,,1.2,,12,SOUTH OF MARIANA ISLANDS
1299852287399,36.799,142.212,10.0,4.2,,A,1.0,135,25,"OFF THE EAST COAST OF HONSHU, JAPAN"
817466929100,25.88,101.78,10.0,3.8,,,1.1,,5,"YUNNAN, CHINA. ML 3.8 (BJI)."
1123489465899,10.48,123.33,35.0,4.5,,C,1.1,148,10,"NEGROS - CEBU REGION, PHILIPPINES"
1090856055099,53.784,160.431,58.0,4.4,,A,0.8,133,28,"NEAR THE EAST COAST OF KAMCHATKA, RUSSIA"
1335054121300,32.606,48.728,5.0,4.3,,,,,66,WESTERN IRAN. <TEH>. mbLg 4.0 (TEH).
1163613185400,46.547,155.193,10.0,4.3,,B,0.9,139,9,EAST OF THE KURIL ISLANDS
818625847400,-25.244,179.174,600.0,4.1,,,0.6,,11,SOUTH OF FIJI ISLANDS
1153519786200,1.796,127.789,229.0,4.3,,C,0.7,145,19,"HALMAHERA, INDONESIA"
1024320356299,-4.651,-105.379,10.0,5.2,5.6,,1.2,79,132,"CENTRAL EAST PACIFIC RISE. MW 6.0 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 13:26:05.7; Lat 4.57 S; Lon 105.59 W; Dep 15.0 km Fix; Half-duration 2.4 sec; Principal axes (scale 10**18 Nm): (T) Val=1.35, Plg=15, Azm=325; (N) Val=-0.09, Plg=69, Azm=192; (P) Val=-1.26, Plg=15, Azm=59; Best double couple: Mo=1.3*10**18 Nm; NP1: Strike=102, Dip=69, Slip=0; NP2: Strike=192, Dip=90, Slip=-159."
1262103477100,-22.587,-68.577,102.0,4.5,,,,,52,"ANTOFAGASTA, CHILE. <GUC>. Felt (III) at Antofagasta, Calama, Maria Elena, Sierra Gorda and Tocopilla; (II) at Mejillones."
