time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1056063899899,-30.691,-71.537,51.0,5.1,5.1,,1.0,56,98,"NEAR THE COAST OF CENTRAL CHILE. MW 5.6 (HRV). Felt (V) at Ovalle; (IV) at Combarbala, Monte Patria and Punitaqui, (III) at Canela, Hurtado, Illapel, La Ligua and Salamanca; (II) at Cabildo, Coquimbo, La Serena and Valparaiso. Centroid, Moment Tensor (HRV): Centroid origin time 23:05:02.0; Lat 30.89 S; Lon 72.14 W; Dep 27.0 km Bdy; Half-duration 1.5 sec; Principal axes (scale 10**17 Nm): (T) Val=2.72, Plg=71, Azm=74; (N) Val=0.16, Plg=4, Azm=175; (P) Val=-2.88, Plg=19, Azm=266; Best double couple: Mo=2.8*10**17 Nm; NP1: Strike=2, Dip=26, Slip=98; NP2: Strike=173, Dip=64, Slip=86."
1079248912100,36.608,137.21,260.0,4.3,,B,0.9,88,15,"EASTERN HONSHU, JAPAN"
1083004544100,-32.156,-177.3,10.0,4.8,,B,1.5,118,18,SOUTH OF THE KERMADEC ISLANDS
1128722859799,16.005,95.76,111.0,4.3,,B,1.1,145,17,NEAR THE SOUTH COAST OF MYANMAR
906087156700,59.798,-153.634,128.0,3.1,,,,,27,SOUTHERN ALASKA. <AEIC>.
954867862100,-55.56,-123.89,10.0,4.7,,,1.5,,16,SOUTHERN EAST PACIFIC RISE
1293197560299,26.793,143.707,10.0,4.3,,B,1.1,129,15,"BONIN ISLANDS, JAPAN REGION"
1145690518200,61.197,167.323,12.0,5.8,5.1,A,0.7,47,538,"KORYAKIA, RUSSIA. MW 5.5 (GS), 5.5 (HRV). ME 5.6 (GS). Broadband Source Parameters (GS): Dep 12 km; Fault plane solution: NP1: Strike=165, Dip=75, Slip=90; NP2: Strike=345, Dip=15, Slip=90; Rupture duration 2.0 sec; Radiated energy 6.2*10**12 Nm. Moment Tensor (GS): Dep 6 km; Principal axes (scale 10**17 Nm): (T) Val=2.27, Plg=74, Azm=86; (N) Val=-0.02, Plg=6, Azm=198; (P) Val=-2.25, Plg=15, Azm=290; Best double couple: Mo=2.3*10**17 Nm; NP1: Strike=29, Dip=30, Slip=103; NP2: Strike=195, Dip=60, Slip=83. Centroid, Moment Tensor (HRV): Centroid origin time 07:22:01.1; Lat 61.14 N; Lon 167.41 E; Dep 17.5 km; Half-duration 1.4 sec; Principal axes (scale 10**17 Nm): (T) Val=2.21, Plg=52, Azm=38; (N) Val=0.08, Plg=33, Azm=185; (P) Val=-2.28, Plg=17, Azm=286; Best double couple: Mo=2.2*10**17 Nm; NP1: Strike=54, Dip=41, Slip=147; NP2: Strike=170, Dip=69, Slip=54."
1036388387000,63.102,-144.545,0.0,4.1,,,,,60,"CENTRAL ALASKA. <AEIC>. ML 4.0 (AEIC), 4.1 (PMR)."
891921370900,4.579,125.481,200.0,4.2,,,1.3,,17,"TALAUD ISLANDS, INDONESIA"
