time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1039736109800,26.638,-44.619,10.0,4.9,,,1.1,79,68,"NORTHERN MID-ATLANTIC RIDGE. MW 5.2 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 23:35:13.9; Lat 26.22 N; Lon 44.39 W; Dep 15.0 km Fix; Half-duration 1.1 sec; Principal axes (scale 10**16 Nm): (T) Val=7.35, Plg=23, Azm=287; (N) Val=0.54, Plg=17, Azm=25; (P) Val=-7.88, Plg=60, Azm=148; Best double couple: Mo=7.6*10**16 Nm; NP1: Strike=346, Dip=27, Slip=-132; NP2: Strike=211, Dip=70, Slip=-72."
1090986988600,-0.443,133.091,13.0,6.0,6.3,A,1.1,39,305,"NEAR THE NORTH COAST OF PAPUA, INDONESIA. MW 6.5 (HRV), 6.4 (GS). ME 6.4 (GS). Felt (IV) at Manokwari and Sorong. Broadband Source Parameters (GS): Dep 13 km; Fault plane solution: NP1: Strike=300, Dip=70, Slip=90; NP2: Strike=120, Dip=20, Slip=90; Rupture duration 4.0 sec; Radiated energy 9.8*10**13 Nm. Moment Tensor (GS): Dep 8 km; Principal axes (scale 10**18 Nm): (T) Val=4.46, Plg=79, Azm=228; (N) Val=0.32, Plg=5, Azm=112; (P) Val=-4.78, Plg=10, Azm=21; Best double couple: Mo=4.6*10**18 Nm; NP1: Strike=106, Dip=36, Slip=82; NP2: Strike=296, Dip=55, Slip=96. Centroid, Moment Tensor (HRV): Centroid origin time 03:56:32.7; Lat 0.36 S; Lon 133.09 E; Dep 15.0 km Bdy; Half-duration 4.0 sec; Principal axes (scale 10**18 Nm): (T) Val=6.34, Plg=65, Azm=225; (N) Val=-0.01, Plg=3, Azm=128; (P) Val=-6.33, Plg=25, Azm=36; Best double couple: Mo=6.3*10**18 Nm; NP1: Strike=118, Dip=21, Slip=80; NP2: Strike=309, Dip=70, Slip=94."
1373298432699,16.469,40.653,10.0,4.4,,A,0.8,114,31,RED SEA
1179018654000,-7.38,129.19,127.0,3.8,,C,1.0,182,6,"KEPULAUAN BABAR, INDONESIA"
1082963379500,48.009,148.559,363.0,4.4,,B,0.3,178,14,NORTHWEST OF THE KURIL ISLANDS
924247353299,-5.142,144.662,76.0,4.2,,,1.3,,9,"NEW GUINEA, PAPUA NEW GUINEA"
1278223384000,35.925,140.364,80.0,4.9,,A,0.9,100,61,"NEAR THE EAST COAST OF HONSHU, JAPAN. MW 4.6 (NIED). Felt at Ayase and Yokohama. Recorded (3 JMA) in Ibaraki; (2 JMA) in Chiba, Fukushima, Gumma, Saitama and Tochigi; (1 JMA) in Kanagawa, Miyagi, Nagano, Niigata, Shizuoka, Tokyo and Yamanashi. Moment Tensor (NIED): Dep 89 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=8.5*10**15 Nm; NP1: Strike=227, Dip=77, Slip=-45; NP2: Strike=330, Dip=46, Slip=-161."
1018728843600,-49.268,106.393,10.0,4.4,,,1.0,92,10,SOUTHEAST INDIAN RIDGE
1348621186899,24.638,-110.091,10.0,4.0,,A,1.0,67,85,GULF OF CALIFORNIA. MD 3.8 (UNM).
879990678100,37.302,21.138,33.0,4.4,,,1.0,,42,SOUTHERN GREECE
1106974003399,7.912,93.83,30.0,4.0,,B,1.0,181,10,"NICOBAR ISLANDS, INDIA REGION"
1152043134799,36.296,70.886,159.0,3.7,,B,0.6,143,17,"HINDU KUSH REGION, AFGHANISTAN"
869682581799,-22.178,126.546,10.0,3.6,,,1.4,,7,WESTERN AUSTRALIA
1178012662800,17.058,-102.098,10.0,4.0,,,,,30,"OFFSHORE GUERRERO, MEXICO. <UNM>. MD 4.5 (UNM)."
881363818100,54.051,161.985,33.0,4.3,,,0.5,,11,NEAR EAST COAST OF KAMCHATKA
861348860899,-19.69,-177.87,500.0,4.0,,,0.9,,7,FIJI ISLANDS REGION
887061881700,58.987,-154.765,138.0,2.8,,,,,84,ALASKA PENINSULA. <AEIC>.
1157147444000,40.227,19.651,39.0,4.1,,A,1.4,55,224,ALBANIA. MD 4.4 (ATH).
815647373700,29.101,130.249,59.0,4.3,,,1.3,,22,RYUKYU ISLANDS
1231015865299,-0.244,133.1,35.0,4.4,,B,1.0,134,23,"NEAR THE NORTH COAST OF PAPUA, INDONESIA"
980313703500,-11.713,165.128,33.0,5.0,,,0.8,112,47,SANTA CRUZ ISLANDS
1348475828300,18.642,145.587,246.0,4.5,,A,1.0,69,82,"PAGAN REGION, NORTHERN MARIANA ISLANDS"
1355202740699,68.093,-136.372,10.0,5.1,,,,,525,"NORTHERN YUKON TERRITORY, CANADA. <PGC>. MW 4.9 (PGC), 4.8 (RMT). Moment Tensor (RMT): Dep 8 km; Principal axes (scale 10**16 Nm): (T) Val=1.92, Plg=1, Azm=302; (N) Val=-0.37, Plg=17, Azm=32; (P) Val=-1.55, Plg=73, Azm=208; Best double couple: Mo=1.8*10**16 Nm; NP1: Strike=15, Dip=46, Slip=-114; NP2: Strike=228, Dip=49, Slip=-67. Moment Tensor (PGC): Dep 2 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=2.6*10**16 Nm; NP1: Strike=233, Dip=25, Slip=-34; NP2: Strike=355, Dip=76, Slip=-111."
823729006299,45.324,149.892,43.0,6.3,7.0,,1.1,,642,"KURIL ISLANDS. Mw 7.1 (GS), 7.2 (HRV). Me 6.7 (GS). Mo=7.4*10**19 Nm (OBN). Minor damage (V) on Iturup. Felt (V) at Yuzhno-Kurilsk, Kunashir. Also felt (V) on Simushir and Urup. Two events about 3.9 seconds apart. Depth from broadband displacement seismograms, based on first event."
1286511517799,51.152,-174.73,14.0,4.4,,B,0.8,133,32,"ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA"
1100217901600,-8.375,124.634,10.0,4.7,,B,1.2,117,24,"KEPULAUAN ALOR, INDONESIA"
822920787300,11.262,125.381,101.0,5.4,,,0.9,,166,"SAMAR, PHILIPPINE ISLANDS. Mw 5.2 (HRV)."
1065199917000,62.687,-149.811,71.0,3.9,,,,,72,CENTRAL ALASKA. <AEIC>. Felt at Cantwell.
1103797663500,43.027,145.31,43.0,4.2,,A,0.6,134,33,"HOKKAIDO, JAPAN REGION. Recorded (2 JMA) in eastern Hokkaido."
883493673200,-16.984,-71.386,128.0,3.9,,,0.6,,8,SOUTHERN PERU
847535798600,-20.61,-178.09,450.0,4.1,,,0.6,,8,FIJI ISLANDS REGION
1057490175500,9.21,-40.57,10.0,4.1,,,0.8,188,12,CENTRAL MID-ATLANTIC RIDGE
1016434997899,36.336,70.343,232.0,3.5,,,0.8,96,13,"HINDU KUSH REGION, AFGHANISTAN"
