time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1197588179500,-8.897,124.083,35.0,4.6,,A,1.1,85,33,"KEPULAUAN ALOR, INDONESIA"
1366598662699,14.199,-91.744,102.0,3.7,,,,,7,GUATEMALA. <UNM>. MD 4.1 (UNM).
887908482100,-4.514,129.248,33.0,5.3,,,1.3,,80,"BANDA SEA. Mw 5.6 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 17:14:41.8; Lat 4.52 S; Lon 128.94 E; Dep 51.9; Half- duration 1.3 sec; Principal axes (scale 10**17 Nm): (T) Val=2.13, Plg=85, Azm=276; (N) Val=0.54, Plg=5, Azm=111; (P) Val=-2.67, Plg=1, Azm=20; Best double couple: Mo=2.4*10**17 Nm; NP1: Strike=105, Dip=44, Slip=83; NP2: Strike=295, Dip=47, Slip=97."
819125849899,29.142,129.725,33.0,4.1,,,1.4,,16,RYUKYU ISLANDS
1060766386299,33.666,131.631,160.0,4.4,,,0.6,127,13,"KYUSHU, JAPAN"
1058081146399,-22.048,-68.384,115.0,5.1,,,0.9,58,200,"NORTHERN CHILE. MW 5.3 (HRV). MD 4.8 (GUC). Centroid, Moment Tensor (HRV): Centroid origin time 07:25:53.1; Lat 22.22 S; Lon 68.82 W; Dep 121.4 km; Half-duration 1.1 sec; Principal axes (scale 10**17 Nm): (T) Val=1.02, Plg=30, Azm=115; (N) Val=0.15, Plg=35, Azm=0; (P) Val=-1.17, Plg=40, Azm=234; Best double couple: Mo=1.1*10**17 Nm; NP1: Strike=258, Dip=36, Slip=-10; NP2: Strike=356, Dip=84, Slip=-125."
990814453599,18.034,39.998,10.0,4.6,4.6,,0.9,63,62,RED SEA
1036390489700,35.326,74.106,33.0,3.9,,,1.4,196,13,NORTHWESTERN KASHMIR
1107618310500,-22.49,179.49,600.0,4.3,,C,1.1,223,12,SOUTH OF THE FIJI ISLANDS
1102160926600,-2.362,139.957,10.0,3.9,,A,0.6,100,15,"NEAR THE NORTH COAST OF PAPUA, INDONESIA"
824780625799,-4.693,128.221,33.0,4.1,,,1.3,,14,BANDA SEA
984958021399,-49.506,125.829,10.0,4.7,,,1.4,65,26,WESTERN INDIAN-ANTARCTIC RIDGE
1130872229800,2.414,95.758,21.0,4.3,,B,0.6,204,13,"SIMEULUE, INDONESIA"
764314947600,36.98,27.02,10.0,3.0,,,0.8,,4,DODECANESE ISLANDS
1252199679899,13.987,92.923,34.0,4.6,,A,0.8,57,75,"ANDAMAN ISLANDS, INDIA REGION"
800576971399,-42.42,120.036,10.0,5.3,4.9,,1.1,,120,SOUTH OF AUSTRALIA. Mw 5.4 (HRV).
