time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1206772859899,-11.908,-77.714,56.0,4.4,,A,0.8,153,35,"NEAR THE COAST OF CENTRAL PERU. Felt (III) at Ancon, Callao and Lima."
1288090283000,-3.698,99.749,10.0,5.5,4.8,A,0.9,22,241,"SOUTHWEST OF SUMATRA, INDONESIA. MW 5.2 (GCMT). Centroid, Moment Tensor (GCMT): Centroid origin time 10:51:25.4; Lat 3.81 S; Lon 99.68 E; Dep 12.0 km Fix; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=9.24, Plg=9, Azm=213; (N) Val=-0.41, Plg=32, Azm=117; (P) Val=-8.84, Plg=57, Azm=316; Best double couple: Mo=9.0*10**16 Nm; NP1: Strike=334, Dip=46, Slip=-43; NP2: Strike=97, Dip=61, Slip=-127."
990616124899,48.884,154.98,33.0,3.6,,,0.8,135,13,KURIL ISLANDS
1006819219600,-14.872,-177.687,400.0,4.1,,,0.8,126,35,FIJI ISLANDS REGION
1070272393199,-2.11,138.46,33.0,4.1,,,1.4,228,8,"PAPUA, INDONESIA"
893245738700,-0.281,120.092,33.0,4.6,,,0.9,,25,"MINAHASSA PENINSULA, SULAWESI"
1112037245200,2.963,99.253,30.0,4.1,,B,0.3,205,9,"NORTHERN SUMATRA, INDONESIA"
1281829035500,12.224,141.64,19.0,4.9,,B,0.9,43,56,MARIANA ISLANDS REGION
1126936485000,16.116,147.805,50.0,4.5,,B,1.0,133,7,MARIANA ISLANDS REGION
1046711292599,-17.563,-178.653,500.0,4.4,,,0.9,172,18,FIJI REGION
1170022117299,23.838,122.628,21.0,4.3,,B,0.9,122,30,TAIWAN REGION
1330062150699,9.958,125.955,97.0,5.0,,A,0.9,58,194,"MINDANAO, PHILIPPINES. Felt (IV PIVS) at Dapa and General Luna, Siargao Island. Felt (III PIVS) at Cabadbaran and Surigao; (II PIVS) at Butuan and Carrascal, Mindanao. Also felt at Adtuyon."
1299844636000,39.202,142.094,45.0,5.3,,A,0.7,100,183,"NEAR THE EAST COAST OF HONSHU, JAPAN. Recorded (4 JMA) in Iwate."
1034725828899,-14.167,-72.74,87.0,5.0,,,1.0,39,116,"CENTRAL PERU. MW 5.3 (HRV). Felt (II) at Arequipa and Cusco. Centroid, Moment Tensor (HRV): Centroid origin time 23:50:37.3; Lat 13.98 S; Lon 72.68 W; Dep 107.1 km; Half-duration 1.0 sec; Principal axes (scale 10**17 Nm): (T) Val=0.98, Plg=6, Azm=117; (N) Val=0.03, Plg=38, Azm=22; (P) Val=-1.01, Plg=52, Azm=215; Best double couple: Mo=9.9*10**16 Nm; NP1: Strike=241, Dip=51, Slip=-38; NP2: Strike=357, Dip=61, Slip=-134."
1149089050900,36.228,141.895,36.0,4.3,,A,0.6,127,30,"NEAR THE EAST COAST OF HONSHU, JAPAN"
1271920608399,-5.45,147.049,212.0,4.2,,B,0.8,81,22,"EASTERN NEW GUINEA REG, PAPUA NEW GUINEA"
1357670702399,55.384,-134.976,20.0,4.5,,,,,297,"SOUTHEASTERN ALASKA. <AEIC>. MW 4.7 (PGC), 4.7 (RMT). ML 4.7 (AEIC). Felt (III) at Sitka. Also felt at Craig and Petersburg. Felt at Prince Rupert, British Columbia. Moment Tensor (RMT): Dep 15 km; Principal axes (scale 10**16 Nm): (T) Val=1.24, Plg=21, Azm=106; (N) Val=-0.12, Plg=66, Azm=255; (P) Val=-1.12, Plg=11, Azm=12; Best double couple: Mo=1.2*10**16 Nm; NP1: Strike=147, Dip=67, Slip=173; NP2: Strike=240, Dip=83, Slip=23. Moment Tensor (PGC): Dep 12 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=1.3*10**16 Nm; NP1: Strike=235, Dip=78, Slip=11; NP2: Strike=143, Dip=80, Slip=168."
1230423572100,36.392,71.146,98.0,3.8,,B,1.5,101,17,"HINDU KUSH REGION, AFGHANISTAN"
1217708107200,-28.181,-176.475,1.0,4.7,,C,0.9,138,18,KERMADEC ISLANDS REGION
1300018255500,38.614,144.358,9.0,4.7,,A,0.9,109,58,"OFF THE EAST COAST OF HONSHU, JAPAN"
894876455799,13.9,-92.11,33.0,4.3,,,0.9,,11,"OFF COAST OF CHIAPAS, MEXICO"
1022926892100,23.489,122.227,33.0,4.7,,,0.9,92,27,TAIWAN REGION
1277909823100,-0.581,100.057,109.0,4.7,,A,1.0,94,37,"SOUTHERN SUMATRA, INDONESIA. Felt (III) at Padang."
912468308699,62.754,161.509,10.0,3.9,,,1.0,,10,"EASTERN SIBERIA, RUSSIA"
1164755805799,46.83,155.406,10.0,4.4,,B,1.1,138,24,EAST OF THE KURIL ISLANDS
827381478199,52.192,-30.109,10.0,3.7,,,1.4,,13,NORTHERN MID-ATLANTIC RIDGE
952692910699,-22.94,-66.56,272.0,3.9,,,0.5,,6,"JUJUY PROVINCE, ARGENTINA"
1364458998399,-24.295,-175.036,10.0,4.5,,B,1.4,124,19,SOUTH OF TONGA
1138731709100,-6.638,129.877,140.0,4.2,,C,0.7,153,13,BANDA SEA
1236241831000,-19.214,-177.564,573.0,4.7,,A,0.9,36,121,FIJI REGION
1124864546500,-21.765,-179.109,586.0,4.6,,A,0.9,114,26,FIJI REGION
947537598899,25.154,123.575,33.0,4.2,,,1.2,,7,NORTHEAST OF TAIWAN
1246790092799,9.126,122.919,91.0,4.4,,B,0.6,144,17,"NEGROS, PHILIPPINES"
1267368924699,-33.87,-73.297,34.0,5.1,,A,0.8,52,87,"OFF THE COAST OF VALPARAISO, CHILE. Felt (III) at Valparaiso. Also felt at Melipilla."
1297808883200,-0.146,124.133,85.0,4.5,,A,0.9,63,47,MOLUCCA SEA
1281052951899,25.805,128.77,35.0,4.4,,A,1.4,111,41,"RYUKYU ISLANDS, JAPAN"
1163007323000,-24.139,-179.905,515.0,4.4,,B,0.8,172,27,SOUTH OF THE FIJI ISLANDS
881596377299,25.743,129.286,33.0,3.7,,,0.9,,7,SOUTHEAST OF RYUKYU ISLANDS
805262444600,-6.26,145.8,100.0,3.9,,,0.8,,6,"NEW GUINEA, PAPUA NEW GUINEA"
960762001600,53.15,158.24,132.0,4.5,,,0.5,194,10,NEAR EAST COAST OF KAMCHATKA
831480805100,62.712,-151.931,13.0,3.5,,,,,25,"CENTRAL ALASKA. <AEIC>. ML 3.6 (AEIC), 3.7 (PMR)."
1094402398500,33.345,137.049,10.0,3.7,,B,0.7,166,7,"NEAR THE SOUTH COAST OF HONSHU, JAPAN"
974994145500,-6.299,153.145,33.0,5.0,,,0.9,66,43,"NEW BRITAIN REGION, P.N.G."
1347449270700,-10.11,161.016,86.0,5.2,,A,0.9,42,223,SOLOMON ISLANDS
1104253876600,9.937,93.801,52.0,5.4,5.1,B,1.2,59,164,"NICOBAR ISLANDS, INDIA REGION. MW 5.4 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 17:11:14.4; Lat 9.90 N; Lon 93.99 E; Dep 13.9 km; Half- duration 1.1 sec; Principal axes (scale 10**17 Nm): (T) Val=1.24, Plg=3, Azm=287; (N) Val=-0.08, Plg=86, Azm=82; (P) Val=-1.16, Plg=2, Azm=196; Best double couple: Mo=1.2*10**17 Nm; NP1: Strike=331, Dip=87, Slip=179; NP2: Strike=62, Dip=89, Slip=3."
913407384000,36.514,71.021,223.0,5.0,,,1.0,,240,"AFGHANISTAN-TAJIKISTAN BORD REG. Mw 5.7 (GS), 5.6 (HRV). Five people killed, seven injured and some damage at Kabul, Afghanistan. Moment Tensor (GS): Dep 220; Principal axes (scale 10**17 Nm): (T) Val=3.70, Plg=63, Azm=105; (N) Val=0.00, Plg=24, Azm=256; (P) Val=-3.70, Plg=12, Azm=351; Best double couple: Mo=3.7*10**17 Nm; NP1: Strike=109, Dip=39, Slip=130; NP2: Strike=241, Dip=61, Slip=62. Centroid, Moment Tensor (HRV): Centroid origin time 20:16:27.1; Lat 36.35 N; Lon 70.87 E; Dep 240.3; Half- duration 1.6 sec; Principal axes (scale 10**17 Nm): (T) Val=3.10, Plg=54, Azm=98; (N) Val=-0.05, Plg=36, Azm=275; (P) Val=-3.05, Plg=2, Azm=6; Best double couple: Mo=3.1*10**17 Nm; NP1: Strike=126, Dip=54, Slip=136; NP2: Strike=246, Dip=56, Slip=46."
860776315700,30.217,68.007,33.0,3.6,,,1.3,,7,PAKISTAN
