time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1341709456000,7.042,121.564,29.0,4.0,,C,0.6,115,15,"MINDANAO, PHILIPPINES. Felt (III PIVS) at Zamboanga City."
1288975236899,12.736,123.054,10.0,5.6,5.4,A,1.2,61,118,"MASBATE REGION, PHILIPPINES. MW 5.8 (GCMT), 5.6 (GS), 5.7 (WCMT). Felt (VI PIVS) at San Pascual and (IV PIVS) at Masbate. Felt (IV PIVS) at Irosin, Legaspi, Santo Domingo and Sorsogon; (III PIVS) at Guinayangan, Luzon. Also felt at Daraga, General Luna, Libog, Milaor, Naga and Tabaco. Felt (IV PIVS) at Odiongan, Tablas Island and (II PIVS) at Cebu City, Cebu and at Roxas City, Panay. Centroid, Moment Tensor (WCMT): Centroid origin time 16:40:41.0; Lat 12.77 N; Lon 122.85 E; Dep 15.0 km; Principal axes (scale 10**17 Nm): (T) Val=4.81, Plg=7, Azm=349; (N) Val=0.63, Plg=79, Azm=119; (P) Val=-5.44, Plg=9, Azm=258; Best double couple: Mo=5.1*10**17 Nm; NP1: Strike=33, Dip=78, Slip=-179; NP2: Strike=303, Dip=89, Slip=-11. Moment Tensor (GS): Dep 5 km; Principal axes (scale 10**17 Nm): (T) Val=2.98, Plg=1, Azm=163; (N) Val=1.07, Plg=70, Azm=70; (P) Val=-4.04, Plg=20, Azm=253; Best double couple: Mo=3.6*10**17 Nm; NP1: Strike=30, Dip=76, Slip=-165; NP2: Strike=296, Dip=75, Slip=-14. Centroid, Moment Tensor (GCMT): Centroid origin time 16:40:39.8; Lat 12.92 N; Lon 122.97 E; Dep 16.2 km; Half-duration 1.8 sec; Principal axes (scale 10**17 Nm): (T) Val=5.55, Plg=10, Azm=347; (N) Val=-0.18, Plg=80, Azm=148; (P) Val=-5.37, Plg=3, Azm=257; Best double couple: Mo=5.5*10**17 Nm; NP1: Strike=32, Dip=81, Slip=176; NP2: Strike=122, Dip=86, Slip=9."
1163741298899,40.709,48.433,55.0,3.4,,B,1.0,174,13,AZERBAIJAN
1102150811400,-3.369,135.511,10.0,5.3,4.9,A,0.8,35,88,"PAPUA, INDONESIA. MW 5.1 (HRV). Felt (V) at Nabire. Centroid, Moment Tensor (HRV): Centroid origin time 09:00:14.6; Lat 3.45 S; Lon 135.48 E; Dep 16.2 km; Half-duration 0.8 sec; Principal axes (scale 10**16 Nm): (T) Val=4.78, Plg=8, Azm=35; (N) Val=0.16, Plg=22, Azm=128; (P) Val=-4.95, Plg=66, Azm=285; Best double couple: Mo=4.9*10**16 Nm; NP1: Strike=101, Dip=41, Slip=-125; NP2: Strike=324, Dip=57, Slip=-63."
1175450833199,-13.028,168.58,621.0,4.7,,A,0.9,45,124,VANUATU
1366220242500,24.954,123.263,11.0,4.1,,A,1.0,95,28,"SOUTHWESTERN RYUKYU ISLANDS, JAPAN"
1123491145899,1.05,98.044,30.0,4.1,,B,0.5,167,7,"NORTHERN SUMATRA, INDONESIA"
1064746003799,17.835,119.508,39.0,4.7,,,0.9,82,47,PHILIPPINE ISLANDS REGION
1083123354500,8.868,126.243,42.0,4.5,,A,0.9,96,37,"MINDANAO, PHILIPPINES"
799174153300,54.01,-163.62,33.0,3.3,,,1.3,,8,UNIMAK ISLAND REGION
1102369631099,39.731,97.262,10.0,3.9,,A,0.8,110,16,"GANSU, CHINA"
1149740601800,2.471,96.824,30.0,4.8,,A,0.9,88,44,"SIMEULUE, INDONESIA"
1356836089600,52.318,-171.121,26.0,4.4,,,,,88,"FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA. <AEIC>. ML 3.9 (AEIC)."
1178452453000,49.768,154.857,124.0,4.3,,A,1.0,163,27,KURIL ISLANDS
1001355348500,-14.967,166.862,33.0,4.6,,,1.0,75,55,VANUATU ISLANDS
1299871808900,37.059,142.983,10.0,5.0,,A,0.9,130,27,"OFF THE EAST COAST OF HONSHU, JAPAN"
952346227099,-17.748,-66.793,315.0,3.9,,,0.9,,9,CENTRAL BOLIVIA
1027986007900,-6.983,-76.822,61.0,5.2,,,0.7,91,259,"NORTHERN PERU. MW 5.2 (HRV). Felt (III) at Bellavista. Centroid, Moment Tensor (HRV): Centroid origin time 23:40:12.2; Lat 7.07 S; Lon 76.60 W; Dep 80.8 km; Half- duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=6.75, Plg=70, Azm=34; (N) Val=0.11, Plg=14, Azm=167; (P) Val=-6.86, Plg=14, Azm=260; Best double couple: Mo=6.8*10**16 Nm; NP1: Strike=9, Dip=33, Slip=116; NP2: Strike=159, Dip=60, Slip=74."
1243430047700,-26.305,-177.742,183.0,4.5,,B,1.0,90,26,SOUTH OF THE FIJI ISLANDS
964477237700,3.749,126.34,88.0,4.3,,,1.0,106,27,"TALAUD ISLANDS, INDONESIA"
1115115918899,-1.808,99.601,30.0,4.4,,B,0.6,164,13,"KEPULAUAN MENTAWAI REGION, INDONESIA. Felt (I) at Padang, Sumatra."
1213248643899,-50.157,-114.169,10.0,5.3,5.6,B,1.3,76,102,"SOUTHERN EAST PACIFIC RISE. MW 5.9 (UCMT), 5.9 (GCMT), 5.8 (GS). Centroid, Moment Tensor (UCMT): Centroid origin time 05:31:03.2; Lat 50.15 S; Lon 113.93 W; Dep 10.0 km; Principal axes (scale 10**18 Nm): (T) Val=0.86, Plg=9, Azm=330; (N) Val=0.32, Plg=58, Azm=75; (P) Val=-1.18, Plg=29, Azm=235; Best double couple: Mo=1.0*10**18 Nm; NP1: Strike=17, Dip=63, Slip=-163; NP2: Strike=280, Dip=76, Slip=-27. Moment Tensor (GS): Dep 8 km; Principal axes (scale 10**17 Nm): (T) Val=6.58, Plg=1, Azm=149; (N) Val=-0.62, Plg=86, Azm=265; (P) Val=-5.96, Plg=3, Azm=59; Best double couple: Mo=6.3*10**17 Nm; NP1: Strike=105, Dip=89, Slip=-3; NP2: Strike=195, Dip=87, Slip=-179. Centroid, Moment Tensor (GCMT): Centroid origin time 05:30:48.0; Lat 50.03 S; Lon 114.50 W; Dep 15.0 km; Half-duration 2.2 sec; Principal axes (scale 10**17 Nm): (T) Val=9.14, Plg=8, Azm=324; (N) Val=-0.69, Plg=81, Azm=178; (P) Val=-8.44, Plg=5, Azm=55; Best double couple: Mo=8.8*10**17 Nm; NP1: Strike=100, Dip=81, Slip=2; NP2: Strike=9, Dip=88, Slip=171."
854594780699,-24.86,179.25,650.0,4.5,,,0.9,,17,SOUTH OF FIJI ISLANDS
1137875452799,36.194,70.951,35.0,3.4,,B,1.6,182,17,"HINDU KUSH REGION, AFGHANISTAN"
926833303500,32.505,78.425,55.0,4.5,,,1.4,,19,KASHMIR-XIZANG BORDER REGION
1361265592000,37.619,142.086,35.0,4.4,,A,1.1,119,42,"OFF THE EAST COAST OF HONSHU, JAPAN. Recorded (1 JMA) in Fukushima."
904457144200,-5.318,151.853,68.0,4.7,,,0.9,,26,"NEW BRITAIN REGION, P.N.G."
798089177800,39.605,17.078,10.0,4.1,,,1.2,,70,"SOUTHERN ITALY. ML 4.0 (TTG), 3.9 (THE). MD 3.6 (ROM)."
1319304248400,-29.043,-175.511,37.0,4.7,,B,1.0,143,19,KERMADEC ISLANDS REGION
1004326266599,-5.06,123.99,33.0,4.7,,,1.3,141,7,BANDA SEA
1179970720299,-5.549,147.059,226.0,4.3,,B,1.1,118,26,"EASTERN NEW GUINEA REG, PAPUA NEW GUINEA"
1082097325800,0.31,122.63,150.0,3.9,,C,0.6,175,8,"MINAHASA, SULAWESI, INDONESIA"
828724059000,-14.28,170.405,605.0,4.3,,,0.8,,33,VANUATU ISLANDS REGION
1115933446899,-7.846,156.491,10.0,4.5,,B,1.0,93,23,SOLOMON ISLANDS
1302132893200,-28.721,20.32,5.0,4.6,,A,0.8,79,26,SOUTH AFRICA
