time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
881548891899,54.1,162.04,33.0,4.1,,,1.3,,9,NEAR EAST COAST OF KAMCHATKA
1084162554100,14.888,-92.199,84.0,3.7,,B,1.2,175,16,"CHIAPAS, MEXICO. MD 4.4 (UNM)."
1369964686799,39.874,143.565,25.0,4.1,,A,0.6,135,49,"OFF THE EAST COAST OF HONSHU, JAPAN"
1152769891699,-15.794,-174.208,159.0,4.6,,A,0.8,61,132,TONGA
865241947099,35.946,70.766,99.0,5.0,,,0.9,,46,"HINDU KUSH REGION, AFGHANISTAN"
1020646305200,-11.357,-74.405,71.0,4.0,,,0.9,152,7,CENTRAL PERU
1210633065100,24.078,122.572,30.0,5.0,4.4,A,0.9,51,174,"TAIWAN REGION. Recorded (1 JMA) on Iriomote-jima and Yonaguni-jima, Ryukyu Islands."
1301123951699,24.833,121.931,98.0,4.7,,A,1.0,53,28,"TAIWAN. Felt (II) at Taipei. Also felt at Shulin and Zhongli. Recorded (2 TAP) in Miaoli, Taipei, Taoyuan and Yilan; (1 TAP) in Hsinchu and Hualien."
1027002411600,-58.688,-25.275,33.0,4.9,4.2,,0.8,51,61,"SOUTH SANDWICH ISLANDS REGION. MW 5.0 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 14:26:54.9; Lat 59.17 S; Lon 24.51 W; Dep 33.2 km; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=3.76, Plg=63, Azm=213; (N) Val=-0.96, Plg=25, Azm=9; (P) Val=-2.79, Plg=10, Azm=104; Best double couple: Mo=3.3*10**16 Nm; NP1: Strike=221, Dip=42, Slip=129; NP2: Strike=353, Dip=59, Slip=61."
1330103798399,7.242,-34.854,10.0,4.8,,B,1.2,97,16,CENTRAL MID-ATLANTIC RIDGE
1179199808300,-17.679,-179.342,344.0,4.2,,B,1.5,87,26,FIJI REGION
