time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
987058910000,37.493,141.487,45.0,5.1,4.8,,0.7,197,129,"NEAR EAST COAST OF HONSHU, JAPAN. MW 5.4 (HRV). Recorded (2 JMA) in Fukushima, Ibaraki and Tochigi; (1 JMA) in eastern Honshu from Iwate to Kanagawa Prefectures. Centroid, Moment Tensor (HRV): Centroid origin time 07:01:52.9; Lat 37.13 N; Lon 141.22 E; Dep 16.9; Half- duration 1.2 sec; Principal axes (scale 10**17 Nm): (T) Val=1.52, Plg=52, Azm=256; (N) Val=-0.18, Plg=19, Azm=12; (P) Val=-1.34, Plg=31, Azm=114; Best double couple: Mo=1.4*10**17 Nm; NP1: Strike=250, Dip=22, Slip=149; NP2: Strike=9, Dip=79, Slip=71."
820620310599,45.197,151.855,33.0,4.3,,,1.2,,50,KURIL ISLANDS
1295178595500,27.325,143.327,11.0,5.1,,A,0.8,38,232,"BONIN ISLANDS, JAPAN REGION. MW 4.9 (GCMT). Centroid, Moment Tensor (GCMT): Centroid origin time 11:49:57.6; Lat 27.30 N; Lon 143.37 E; Dep 19.6 km; Half-duration 0.7 sec; Principal axes (scale 10**16 Nm): (T) Val=2.81, Plg=9, Azm=257; (N) Val=0.76, Plg=4, Azm=166; (P) Val=-3.57, Plg=80, Azm=55; Best double couple: Mo=3.2*10**16 Nm; NP1: Strike=351, Dip=36, Slip=-84; NP2: Strike=163, Dip=54, Slip=-95."
1326027625100,51.6,96.05,10.0,4.0,,A,1.3,101,22,"SOUTHWESTERN SIBERIA, RUSSIA"
1343465561200,35.13,27.55,17.0,4.0,,,,,55,"DODECANESE ISLANDS, GREECE. <ATH>. ML 3.8 (ATH), 3.8 (THE)."
1283454864399,-5.18,150.797,214.0,4.5,,A,0.9,67,44,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1112916856199,30.276,83.633,10.0,4.2,,B,1.3,90,14,WESTERN XIZANG
820733545500,-5.018,153.068,33.0,4.2,,,0.7,,15,"NEW IRELAND REGION, P.N.G."
1126348528600,-4.41,153.596,105.0,4.9,,A,0.9,106,34,"NEW IRELAND REGION, PAPUA NEW GUINEA. MW 5.2 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 10:35:31.2; Lat 4.68 S; Lon 153.53 E; Dep 102.9 km; Half-duration 0.9 sec; Principal axes (scale 10**16 Nm): (T) Val=6.72, Plg=72, Azm=203; (N) Val=-0.01, Plg=9, Azm=322; (P) Val=-6.72, Plg=16, Azm=54; Best double couple: Mo=6.7*10**16 Nm; NP1: Strike=157, Dip=30, Slip=108; NP2: Strike=317, Dip=61, Slip=80."
895474283300,-41.527,173.606,79.0,4.1,,,0.6,,16,"SOUTH ISLAND, NEW ZEALAND. Felt at Blenheim and Picton."
1231262361699,21.958,144.841,35.0,4.2,,B,0.6,110,11,MARIANA ISLANDS REGION
1209835335099,-36.283,178.317,170.0,4.9,,,,,30,"OFF EAST COAST OF THE NORTH ISLAND, N.Z. <WEL>."
869905784200,-17.676,167.086,33.0,4.0,,,0.9,,8,VANUATU ISLANDS
1359605448100,-4.447,102.665,60.0,4.9,,A,0.9,32,143,"SOUTHERN SUMATRA, INDONESIA. Felt at Palmerah."
849639968099,37.14,72.17,200.0,3.7,,,1.2,,6,TAJIKISTAN
902512023899,0.426,125.517,51.0,4.9,,,1.0,,55,NORTHERN MOLUCCA SEA
1120197387399,-19.535,-69.207,106.0,4.0,,B,1.2,112,12,"TARAPACA, CHILE"
1184825924000,72.261,125.712,10.0,4.4,,A,1.0,75,26,"NORTHWESTERN SAKHA, RUSSIA"
1262576469900,-55.508,-26.894,10.0,4.4,,B,1.0,86,17,SOUTH SANDWICH ISLANDS REGION
1240121690000,4.142,126.807,35.0,4.8,,A,1.1,73,88,"KEPULAUAN TALAUD, INDONESIA"
1278626103200,-49.274,120.826,10.0,4.5,,B,0.7,83,16,WESTERN INDIAN-ANTARCTIC RIDGE
804652475200,-3.126,26.457,10.0,4.4,,,0.6,,7,ZAIRE. mbLg 3.7 (BUL).
1110108664299,2.796,128.67,225.0,4.7,,B,0.7,93,39,"HALMAHERA, INDONESIA"
1313307511300,36.91,140.34,10.0,4.4,,A,0.8,128,28,"NEAR THE EAST COAST OF HONSHU, JAPAN. Recorded (4 JMA) in Ibaraki."
983849695500,12.847,145.184,72.0,4.6,,,1.1,126,25,SOUTH OF MARIANA ISLANDS
1140162621600,-33.695,-179.445,10.0,4.8,,A,1.3,87,41,SOUTH OF THE KERMADEC ISLANDS
1108700570200,-23.857,-66.82,202.0,3.3,,B,1.3,96,13,"JUJUY, ARGENTINA"
1294705589199,-5.297,129.987,199.0,5.0,,A,0.9,44,154,"BANDA SEA. MW 4.9 (GCMT). Centroid, Moment Tensor (GCMT): Centroid origin time 00:26:29.1; Lat 5.25 S; Lon 130.21 E; Dep 209.0 km; Half-duration 0.7 sec; Principal axes (scale 10**16 Nm): (T) Val=3.09, Plg=16, Azm=246; (N) Val=0.22, Plg=37, Azm=144; (P) Val=-3.30, Plg=48, Azm=355; Best double couple: Mo=3.2*10**16 Nm; NP1: Strike=16, Dip=44, Slip=-29; NP2: Strike=128, Dip=70, Slip=-130."
1138731760100,69.137,-52.861,10.0,4.3,,B,1.7,94,13,WESTERN GREENLAND
1315775841399,23.89,123.286,45.0,4.7,,A,0.9,129,46,"SOUTHWESTERN RYUKYU ISLANDS, JAPAN"
1041380050599,-48.127,-9.789,10.0,5.5,5.5,,1.2,45,61,"SOUTHERN MID-ATLANTIC RIDGE. MW 5.6 (HRV), 5.5 (GS). Moment Tensor (GS): Dep 20 km; Principal axes (scale 10**17 Nm): (T) Val=2.03, Plg=3, Azm=263; (N) Val=-0.18, Plg=42, Azm=356; (P) Val=-1.85, Plg=48, Azm=170; Best double couple: Mo=1.9*10**17 Nm; NP1: Strike=319, Dip=56, Slip=-144; NP2: Strike=206, Dip=61, Slip=-40. Centroid, Moment Tensor (HRV): Centroid origin time 00:14:17.7; Lat 48.49 S; Lon 9.44 W; Dep 15.0 km Fix; Half-duration 1.5 sec; Principal axes (scale 10**17 Nm): (T) Val=3.31, Plg=14, Azm=257; (N) Val=-0.30, Plg=5, Azm=348; (P) Val=-3.02, Plg=75, Azm=97; Best double couple: Mo=3.2*10**17 Nm; NP1: Strike=340, Dip=32, Slip=-99; NP2: Strike=171, Dip=59, Slip=-84."
1198630384500,-2.727,140.52,56.0,4.1,,B,1.3,110,27,"NEAR THE NORTH COAST OF PAPUA, INDONESIA. Felt (III) at Jayapura."
817273863899,-7.98,128.53,134.0,4.3,,,1.1,,11,BANDA SEA
1267352283600,-35.062,-72.792,35.0,4.0,,B,0.8,139,13,"OFFSHORE MAULE, CHILE"
1218205057799,30.738,103.43,10.0,4.2,,B,1.2,121,16,"EASTERN SICHUAN, CHINA"
1022398873699,4.079,126.536,33.0,4.3,,,1.2,117,12,"KEPULAUAN TALAUD, INDONESIA"
1106508272000,-5.434,151.728,66.0,4.2,,B,0.9,149,19,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1166741805000,50.57,-130.4,10.0,4.2,,,,,84,"VANCOUVER ISLAND, CANADA REGION. <PGC>. MW 4.6 (PGC). Moment Tensor (PGC): Dep 7 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=9.8*10**15 Nm; NP1: Strike=331, Dip=62, Slip=-154; NP2: Strike=228, Dip=68, Slip=-31."
1226258569399,39.454,73.965,35.0,4.4,,A,1.0,77,64,"SOUTHERN XINJIANG, CHINA"
918532851299,59.287,-153.478,107.0,3.2,,,,,10,SOUTHERN ALASKA. <AEIC>.
1321584231000,-37.429,179.963,41.0,5.2,4.7,,,,152,"OFF EAST COAST OF THE NORTH ISLAND, N.Z. <WEL>. MW 5.2 (GCMT). ML 5.4 (WEL). Felt at Ruatoria. Centroid, Moment Tensor (GCMT): Centroid origin time 02:43:58.5; Lat 37.52 S; Lon 179.74 E; Dep 12.0 km Fix; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=9.21, Plg=4, Azm=303; (N) Val=-0.74, Plg=2, Azm=33; (P) Val=-8.46, Plg=85, Azm=153; Best double couple: Mo=8.8*10**16 Nm; NP1: Strike=31, Dip=41, Slip=-94; NP2: Strike=215, Dip=49, Slip=-87."
1237962695100,-17.093,-172.071,30.0,5.1,,A,0.8,44,152,"TONGA REGION. MW 5.2 (GCMT). Centroid, Moment Tensor (GCMT): Centroid origin time 06:31:38.0; Lat 17.26 S; Lon 171.79 W; Dep 46.5 km; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=8.26, Plg=80, Azm=104; (N) Val=-0.82, Plg=8, Azm=324; (P) Val=-7.44, Plg=6, Azm=233; Best double couple: Mo=7.9*10**16 Nm; NP1: Strike=314, Dip=39, Slip=77; NP2: Strike=150, Dip=52, Slip=100."
1224701005800,-21.37,-178.97,300.0,3.8,,C,1.4,228,7,FIJI REGION
