time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1122059328899,-21.777,-179.658,650.0,4.6,,B,0.6,100,29,FIJI REGION
1079467903799,52.468,-169.556,38.0,4.0,,A,1.0,141,57,"FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA. ML 4.0 (AEIC)."
1175462708300,-8.652,156.986,28.0,5.4,,B,1.2,52,85,SOLOMON ISLANDS
1063099851399,-45.044,166.95,33.0,4.3,,,1.0,99,11,"OFF WEST COAST OF THE SOUTH ISLAND, N.Z. ML 4.7 (WEL)."
1112690156600,34.761,142.496,41.0,4.2,,B,0.8,136,18,"OFF THE EAST COAST OF HONSHU, JAPAN"
777031772799,37.842,142.462,20.0,5.9,5.2,,0.9,,486,"OFF EAST COAST OF HONSHU, JAPAN. Mw 5.7 (GS), 5.8 (HRV). Ms 5.1 (BRK). Depth from broadband displacement seismograms."
840206050500,-9.61,107.61,33.0,3.3,,,0.6,,8,"SOUTH OF JAWA, INDONESIA"
1163560091000,-6.28,151.5,10.0,4.4,,C,0.8,260,9,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
771547707500,-10.328,113.621,26.0,5.6,5.0,,1.2,,117,"SOUTH OF JAWA, INDONESIA"
925758335799,-20.011,168.151,33.0,5.0,,,1.1,,62,LOYALTY ISLANDS
1153123717299,55.216,159.394,10.0,4.2,,A,0.6,120,22,"KAMCHATKA PENINSULA, RUSSIA"
1069360176100,-29.17,-178.338,100.0,4.5,,,0.9,199,11,"KERMADEC ISLANDS, NEW ZEALAND"
840357822299,-35.873,-71.37,91.0,4.9,,,1.0,,78,"CENTRAL CHILE. MD 4.8 (SAN). Felt (IV) at Talca and (III) at Cauquenes, Chillan, Constitucion, Curico, Iloca, Licanten, Linares and San Carlos."
1179333773899,-8.667,119.277,104.0,4.2,,B,1.0,154,12,"FLORES REGION, INDONESIA"
997661772800,51.454,-172.79,33.0,4.8,,,1.0,126,129,"ANDREANOF ISLANDS, ALEUTIAN IS. ML 4.2 (PMR)."
1073469300700,-22.035,169.552,10.0,5.0,,B,1.1,142,16,SOUTHEAST OF THE LOYALTY ISLANDS
813488985000,28.469,138.698,550.0,4.1,,,0.7,,26,BONIN ISLANDS REGION
1029523407699,-19.552,161.609,33.0,4.6,,,1.4,100,17,SOUTHWEST OF NEW CALEDONIA
1061752024700,24.806,94.95,86.0,4.6,,,0.7,46,119,MYANMAR-INDIA BORDER REGION
901831603700,-16.616,177.004,33.0,4.5,,,1.1,,24,FIJI ISLANDS
1344083816799,-55.693,-25.894,10.0,4.3,,B,0.9,72,15,SOUTH SANDWICH ISLANDS REGION
1196626909000,37.065,29.198,8.0,4.6,,,,,245,WESTERN TURKEY. <ISK>. ML 4.5 (ISK). Felt at Sogutludere.
1130441181199,34.167,73.841,10.0,4.2,,A,1.1,167,34,PAKISTAN
1331591890300,-18.837,169.237,262.0,4.8,,A,0.9,78,85,VANUATU
1358130389800,31.95,50.95,18.0,4.1,,,,,16,WESTERN IRAN. <THR>. ML 3.5 (THR).
765538544799,51.296,-178.152,20.0,5.8,6.0,,0.9,,480,"ANDREANOF ISLANDS, ALEUTIAN IS. Mw 6.2 (GS), 6.2 (HRV). Ms 5.6 (BRK). Mo=3.6*10**18 Nm (PPT). Felt on Adak. Depth from broadband displacement seismograms."
997331029600,37.79,21.98,5.0,4.3,,,,,40,"SOUTHERN GREECE. <ATH>. ML 3.9 (ROM), 3.8 (ATH). Felt in southern Greece."
1064560176700,-4.509,102.994,85.0,4.7,,,1.1,91,51,"SOUTHERN SUMATRA, INDONESIA"
1334140614200,1.167,91.87,10.0,5.4,,A,1.0,74,124,NORTH INDIAN OCEAN
1349460499899,-6.661,129.547,162.0,5.0,,A,1.0,26,119,BANDA SEA
