time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
1156962300600,29.052,83.602,10.0,3.8,,,,,23,XIZANG-NEPAL BORDER REGION. <DMN>. ML 4.5 (DMN).
1285908779600,13.761,-90.45,88.0,4.6,,A,0.9,113,72,OFFSHORE GUATEMALA
1268338280399,-34.381,-71.979,8.0,5.7,5.3,,,,262,"LIBERTADOR O'HIGGINS, CHILE. <GUC>. MW 5.6 (GCMT). ML 5.8 (GUC). Felt (V) at Pichilemu; (IV) at Curico, Maipo, Rancagua, San Antonio and Talagante; (III) at Colbun, Linares, Longavi, Melipilla, Parral, Puchuncavi, Quillota, San Fernando, Santiago and Talca. Also felt at Chillan, Lampa, Penaflor, Puente Alto, San Bernardo, Valparaiso and Vina del Mar. Centroid, Moment Tensor (GCMT): Centroid origin time 20:11:27.1; Lat 34.62 S; Lon 72.08 W; Dep 19.3 km; Half-duration 1.6 sec; Principal axes (scale 10**17 Nm): (T) Val=3.38, Plg=4, Azm=253; (N) Val=0.40, Plg=20, Azm=162; (P) Val=-3.78, Plg=70, Azm=354; Best double couple: Mo=3.6*10**17 Nm; NP1: Strike=3, Dip=44, Slip=-61; NP2: Strike=146, Dip=52, Slip=-115."
1283532530399,-43.542,172.164,10.0,4.7,,B,0.9,139,11,SOUTH ISLAND OF NEW ZEALAND
786395499299,11.537,143.365,33.0,4.8,,,0.6,,8,SOUTH OF MARIANA ISLANDS
993601266900,-17.887,-71.529,33.0,5.2,5.0,,1.0,102,216,"NEAR COAST OF PERU. MW 5.5 (HRV). Felt (IV) at Ilo. Felt (III) at Arica, Chile. Centroid, Moment Tensor (HRV): Centroid origin time 00:21:12.5; Lat 18.04 S; Lon 72.30 W; Dep 36.5; Half- duration 1.3 sec; Principal axes (scale 10**17 Nm): (T) Val=1.60, Plg=76, Azm=83; (N) Val=0.16, Plg=3, Azm=342; (P) Val=-1.76, Plg=14, Azm=251; Best double couple: Mo=1.7*10**17 Nm; NP1: Strike=338, Dip=31, Slip=85; NP2: Strike=164, Dip=59, Slip=93."
993982385900,-17.51,-72.349,33.0,4.4,,,1.0,104,13,NEAR COAST OF PERU
837778465500,-15.455,-173.764,33.0,4.8,,,1.3,,55,TONGA ISLANDS
1359465442699,42.543,144.082,62.0,4.8,,A,0.7,46,193,"HOKKAIDO, JAPAN REGION. Recorded (2 JMA) in southeastern Hokkaido."
1147579981500,-6.974,129.655,67.0,5.0,,A,0.9,25,148,"BANDA SEA. MW 5.2 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 04:13:08.1; Lat 6.93 S; Lon 129.68 E; Dep 110.0 km; Half-duration 1.0 sec; Principal axes (scale 10**16 Nm): (T) Val=8.40, Plg=16, Azm=294; (N) Val=0.13, Plg=48, Azm=186; (P) Val=-8.53, Plg=38, Azm=37; Best double couple: Mo=8.5*10**16 Nm; NP1: Strike=69, Dip=51, Slip=-18; NP2: Strike=170, Dip=76, Slip=-139."
