time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
899906477500,-3.029,142.519,33.0,4.2,,,1.3,,17,"NEAR N COAST OF NEW GUINEA, PNG."
1182681846400,3.392,-78.906,48.0,4.1,,B,1.1,79,16,SOUTH OF PANAMA
933223783799,34.446,32.868,15.0,4.4,,,,,74,"CYPRUS REGION. <CSS>. ML 4.1 (GII). Felt (IV) at Episkopi, Evdhimou and Limassol."
1162513469199,13.77,-91.625,35.0,4.3,,A,0.9,80,44,OFFSHORE GUATEMALA
1373526984600,1.803,98.991,10.0,4.8,,A,1.4,61,69,"NORTHERN SUMATRA, INDONESIA. MW 4.9 (RMT). Felt (IV) at Sibolga. Felt (II) at Kajang, Kuala Lumpur and Sungai Chua, Malaysia. Also felt at Ampang, Banting, Shah Alam and Subang. Moment Tensor (RMT): Dep 12 km; Principal axes (scale 10**16 Nm): (T) Val=3.20, Plg=11, Azm=107; (N) Val=-0.80, Plg=74, Azm=240; (P) Val=-2.40, Plg=11, Azm=15; Best double couple: Mo=2.9*10**16 Nm; NP1: Strike=151, Dip=74, Slip=-180; NP2: Strike=61, Dip=90, Slip=-16."
840956908800,51.779,-175.208,33.0,4.7,,,1.0,,29,"ANDREANOF ISLANDS, ALEUTIAN IS."
1015463651599,-27.298,-177.745,400.0,4.2,,,0.7,193,19,KERMADEC ISLANDS REGION
1116869376000,4.766,94.818,30.0,4.6,,A,0.8,183,25,OFF THE WEST COAST OF NORTHERN SUMATRA
1098608767700,38.174,142.129,44.0,4.5,,A,1.0,114,33,"NEAR THE EAST COAST OF HONSHU, JAPAN. MW 4.4 (NIED). Recorded (1 JMA) in Fukushima, Iwate and Miyagi Prefectures. Moment Tensor (NIED): Dep 35 km; Principal axes: (T) Plg=0, Azm=0; (N) Plg=0, Azm=0; (P) Plg=0, Azm=0; Best double couple: Mo=4.0*10**15 Nm; NP1: Strike=23, Dip=79, Slip=87; NP2: Strike=219, Dip=12, Slip=106."
1069815847900,36.85,68.44,33.0,5.1,,,1.1,40,216,"HINDU KUSH REGION, AFGHANISTAN"
1124200708399,2.638,126.534,10.0,4.6,,B,0.4,153,10,MOLUCCA SEA
847261903100,9.764,126.476,33.0,5.2,,,1.1,,75,"MINDANAO, PHILIPPINE ISLANDS. Mw 5.4 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 06:31:46.8; Lat 10.07 N; Lon 127.18 E; Dep 16.8; Half- duration 1.2 sec; Principal axes (scale 10**17 Nm): (T) Val=1.48, Plg=17, Azm=253; (N) Val=-0.08, Plg=6, Azm=161; (P) Val=-1.40, Plg=72, Azm=52; Best double couple: Mo=1.4*10**17 Nm; NP1: Strike=352, Dip=29, Slip=-78; NP2: Strike=158, Dip=62, Slip=-97."
1374167104099,38.314,141.794,50.0,4.6,,A,0.6,135,53,"NEAR THE EAST COAST OF HONSHU, JAPAN. Recorded (2 JMA) in Iwate and Miyagi."
1033251983199,13.921,-91.573,64.0,4.5,,,1.1,198,100,NEAR THE COAST OF GUATEMALA. MD 4.8 (UNM).
1293481586899,-26.733,-177.054,94.0,4.6,,A,0.9,100,27,SOUTH OF THE FIJI ISLANDS
1339699208099,-9.236,28.161,10.0,4.7,,A,1.3,69,27,"LAKE MWERU REGION, CONGO-ZAMBIA"
1154074108100,-22.459,-179.541,577.0,4.8,,A,0.9,71,119,SOUTH OF THE FIJI ISLANDS
1023327352299,30.457,81.251,33.0,4.7,,,1.3,68,29,WESTERN XIZANG
830701556899,43.967,147.107,33.0,4.6,,,1.1,,73,KURIL ISLANDS
1053110258500,50.467,155.337,138.0,4.1,,,0.8,137,42,KURIL ISLANDS
916642853399,33.405,-87.255,1.0,4.8,,,1.0,,66,ALABAMA. mbLg 4.0 (GS). Mine collapse.
957048549800,9.741,122.431,33.0,4.6,3.9,,1.0,,46,"NEGROS, PHILIPPINES"
1057414596700,10.24,122.13,33.0,4.3,,,1.3,137,14,"PANAY, PHILIPPINES"
1316011965700,-17.437,-69.429,147.0,4.9,,A,0.7,100,26,"LA PAZ, BOLIVIA"
1109678178399,6.557,60.194,10.0,4.3,,B,0.6,129,11,CARLSBERG RIDGE
1019981000100,-23.507,-115.062,10.0,4.6,,,1.2,105,27,SOUTHERN EAST PACIFIC RISE
1331850270399,-31.075,-178.524,82.0,4.6,,B,1.4,135,19,KERMADEC ISLANDS REGION
1106575459800,7.175,92.477,33.0,4.4,,B,0.6,185,10,"NICOBAR ISLANDS, INDIA REGION"
1179784436100,22.002,142.701,20.0,4.5,,B,0.9,139,11,"VOLCANO ISLANDS, JAPAN REGION"
943563077100,34.611,99.792,44.0,4.9,4.4,,0.8,,79,"QINGHAI, CHINA"
1281116031100,10.829,-86.205,43.0,4.7,,A,1.1,100,80,"OFF THE COAST OF COSTA RICA. MD 5.0 (UCR). Felt (II) at Playas del Coco and Sardinal. Also felt at Belen, Liberia and Santa Cruz."
1299971532500,39.032,142.424,55.0,4.3,,A,0.7,134,33,"NEAR THE EAST COAST OF HONSHU, JAPAN"
1222835710400,3.816,125.51,35.0,4.2,,B,1.0,139,11,"KEPULAUAN SANGIHE, INDONESIA"
1267238827900,26.036,128.796,35.0,4.2,,B,0.9,137,22,"RYUKYU ISLANDS, JAPAN"
850306730899,-4.736,103.195,63.0,5.2,4.7,,1.1,,125,"SOUTHERN SUMATERA, INDONESIA. Mw 5.5 (HRV). Centroid, Moment Tensor (HRV): Centroid origin time 12:18:56.5; Lat 5.17 S; Lon 103.13 E; Dep 56.5; Half- duration 1.3 sec; Principal axes (scale 10**17 Nm): (T) Val=1.62, Plg=70, Azm=17; (N) Val=0.37, Plg=0, Azm=287; (P) Val=-1.99, Plg=20, Azm=197; Best double couple: Mo=1.8*10**17 Nm; NP1: Strike=286, Dip=25, Slip=90; NP2: Strike=107, Dip=65, Slip=90."
1235358104600,7.075,-104.367,10.0,4.6,,A,0.8,190,59,NORTHERN EAST PACIFIC RISE
801779331100,-7.08,125.12,521.0,4.9,,,0.6,,8,BANDA SEA
1334618225500,11.454,141.602,35.0,4.0,,B,0.7,124,16,"STATE OF YAP, FED. STATES OF MICRONESIA"
1242464604300,-31.211,-178.103,56.0,4.9,,A,0.8,165,23,KERMADEC ISLANDS REGION
1190972536100,-21.754,169.556,10.0,4.2,,B,0.9,99,10,SOUTHEAST OF THE LOYALTY ISLANDS
802041654899,-10.731,163.742,10.0,4.3,4.4,,1.0,,14,SOLOMON ISLANDS
